# BEAST v1.8.4
# Generated Thu Sep 09 12:55:12 JST 2021 [seed=1631159688978]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	CP1+2.kappa1	CP1+2.kappa2	CP3.kappa1	CP3.kappa2	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	clock.rate	meanRate	CP1+2.treeLikelihood	CP3.treeLikelihood	branchRates	skyline
0	-51602.83092245682	-9499.38584953043	-42103.44507292639	135.6542046624972	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	5.0	2.0	2.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	1.0	1.0	1.0	1.0	-22543.262734066306	-19560.182338860086	0.0	-6717.789653629593
10000	-11020.270383724823	-3145.985617472046	-7874.284766252777	107.16750872020023	92.85492786450892	154.23410026054137	158.74423757808177	78.85902756548515	137.3345240867352	111.90663475323728	162.0368763189134	45.178618777465346	20.644687544493987	53.77881809815809	12.0	7.0	1.0	6.0	1.0	4.0	9.0	9.0	3.0	7.0	2.6253658862669806	5.750861164093211	16.698579421080186	24.106239549688716	0.22608226807859233	0.2669519602374698	0.2413544110415757	0.26561136064236224	0.030556259191714265	0.512003420380452	0.16996961409857544	2.6600607718028493	0.0010740542406031278	0.0010740542406031275	-2371.1870968700605	-5503.097669382717	0.0	-310.5926253815581
20000	-10476.352998087505	-3142.3801068810494	-7333.972891206455	127.19042142653606	13.616598116645182	29.172741572718312	69.39977740635905	55.716172754092256	198.31506322831726	362.34132739935274	188.53577099179387	196.43173193025797	36.071416443003386	94.9261034466511	7.0	3.0	12.0	10.0	2.0	2.0	2.0	11.0	2.0	8.0	8.696142361051031	9.701464107194456	13.624420786236566	21.335078464601978	0.23385130844648808	0.2617956662039098	0.2471477852435697	0.25720524010603235	0.03981773031341452	0.6149199583941979	0.13001016351130315	2.7399796729773938	8.556962142388896E-4	8.556962142388898E-4	-2314.986859802926	-5018.986031403529	0.0	-303.3880057929587
30000	-10468.797004437416	-3136.786196202146	-7332.010808235269	144.543071288481	21.32928463876765	36.33084273118895	19.76230945581967	43.34580676690123	54.977794132483275	127.57433719830024	232.90429778564317	259.2405077940173	147.7802614636742	26.164791349067873	1.0	5.0	1.0	18.0	9.0	1.0	2.0	4.0	15.0	3.0	4.584239826754397	9.635534312644085	16.399601056385173	27.327766670675818	0.23157338631894278	0.24660977658878527	0.24280619863107272	0.27901063846119917	0.027798883263626305	0.7417092936268435	0.1501351293334811	2.6997297413330377	8.973125960378532E-4	8.973125960378532E-4	-2315.0433192415753	-5016.967488993693	0.0	-301.77207359928366
40000	-10448.410789388794	-3124.0452455924665	-7324.365543796328	146.0486426140373	25.26348964282376	17.91514158052737	46.273954883561444	57.599231813993775	63.121153796506455	71.4735009545404	173.92077550342177	38.33327980434579	82.74006927335635	33.967636805510594	1.0	4.0	8.0	2.0	12.0	5.0	13.0	7.0	2.0	5.0	3.2522584959553087	6.7475684095910164	15.297171185479838	21.151256437689224	0.2246597765083437	0.25701359112921857	0.24270359022764013	0.27562304213479755	0.01234704511699746	0.6388346182983557	0.1750555914301506	2.6498888171396984	8.566026239588742E-4	8.56602623958874E-4	-2312.350563511047	-5012.014980285281	0.0	-293.23969194990156
50000	-10454.966428487587	-3114.0643024069377	-7340.9021260806485	124.69903315514854	8.579223452584033	19.28526778700023	20.570225910633187	57.09160918838281	41.32945983365031	71.63903867860603	196.52730177781967	37.11592815958747	205.0978512811198	39.262148617857996	1.0	2.0	9.0	7.0	14.0	3.0	5.0	10.0	2.0	6.0	4.531213114810327	9.396542117692992	14.756344933330839	21.77368984563749	0.22104905168361058	0.25332331108252704	0.2572411667415893	0.2683864704922731	0.09441147896945509	0.616282111741413	0.18679307744706283	2.626413845105874	9.374997953965443E-4	9.374997953965442E-4	-2324.4412645175835	-5016.460861563065	0.0	-279.3043168248572
60000	-10447.925320025392	-3109.4269147788636	-7338.498405246529	124.02976431266738	27.581750349919993	37.06341843292092	42.66773382561177	67.96129835468611	107.9048341070806	41.435346947499525	35.31365455572327	21.892006771286557	66.11991788696308	21.424141810308512	13.0	5.0	9.0	6.0	5.0	6.0	1.0	6.0	4.0	4.0	3.689613800889814	8.595402142428807	13.83764838839941	26.783111664356003	0.22616837944208812	0.2565888566899607	0.26202372362900755	0.25521904023894393	0.07402621430983979	0.5498359667166756	0.16619365134191294	2.667612697316174	9.847809840913713E-4	9.847809840913715E-4	-2308.2872783073326	-5030.211126939196	0.0	-280.28531227014514
70000	-10468.008617400377	-3121.4943308101024	-7346.514286590274	149.20620880300316	53.864086256990625	57.62360901372873	31.38667537250711	58.220003506782824	59.439872288789935	160.87215615077687	27.840554961132725	30.976995663497284	91.37861715804473	75.60401464553391	15.0	5.0	4.0	6.0	2.0	11.0	7.0	1.0	4.0	4.0	2.7373352732921017	6.338499098338727	17.97146706791933	29.087505104011314	0.25008662072157817	0.25388498456664343	0.23564686948314917	0.26038152522862956	0.0545729044725509	0.5610280118423893	0.16977362474040986	2.6604527505191795	9.622896707718582E-4	9.622896707718579E-4	-2313.923488989224	-5032.59079760105	0.0	-288.54084905702246
80000	-10448.541574274781	-3122.2471384123846	-7326.294435862396	122.27404755566117	19.496380747530438	42.810480089189845	72.05467450228883	24.66062642241432	44.5832397514369	15.59494884490746	58.33306004187321	36.84311026932966	80.58443664610263	113.74744564836512	6.0	9.0	5.0	7.0	14.0	1.0	7.0	3.0	4.0	3.0	5.798903652400626	7.644297795653491	14.650668602205238	20.65903081102094	0.2279565026457084	0.26900797013043815	0.23800217617714184	0.265033351046712	0.07341086192638824	0.6723038041797441	0.1495078309208441	2.700984338158311	9.212455901995387E-4	9.212455901995387E-4	-2305.978299261168	-5020.316136601228	0.0	-291.1622336497834
90000	-10464.037034922501	-3115.7499829180156	-7348.287052004486	131.8391875701011	29.354836213775993	50.81177186827799	17.799961916090858	24.26103803735169	52.92091327258256	21.21869233864664	49.87707654871968	32.63657794573588	199.03143445290718	50.641807180552384	12.0	10.0	2.0	1.0	16.0	1.0	6.0	4.0	1.0	6.0	2.2639500348329147	6.811401542804408	19.130640192866156	24.71849408443162	0.24876870236402612	0.24342003791071962	0.2329195559015036	0.2748917038237511	0.06099192433365991	0.580406126755981	0.2228326277458757	2.5543347445082474	0.0010411512383070149	0.0010411512383070147	-2322.413271418607	-5025.873780585879	0.0	-283.459384698627
100000	-10444.953622740046	-3117.0338991141803	-7327.919723625865	122.93429054634349	25.082431015208595	52.961302598172225	24.022179634143413	52.134344557546214	105.6748697305051	54.243078295471484	48.40605680361777	50.84087465406199	91.765182875877	57.455910490435876	7.0	15.0	10.0	1.0	6.0	2.0	7.0	4.0	4.0	3.0	4.059555097171696	7.645618613254991	18.29091569290979	25.808509290138492	0.24373099005524007	0.2579027452619382	0.2412284074846675	0.2571378571981548	0.022198657447561106	0.6530874988789546	0.16619162941798843	2.6676167411640215	9.501544916661767E-4	9.501544916661767E-4	-2313.147457666888	-5014.772265958977	0.0	-285.5327582775767
110000	-10445.002956992375	-3118.714115432332	-7326.288841560043	139.00856342802757	11.909486170266852	56.4528435303732	61.16628456497679	47.84508321528299	61.40452037988645	92.83093520466343	49.28041608436888	108.01580115920792	122.04779906240522	76.74965001142563	11.0	5.0	3.0	19.0	2.0	1.0	10.0	2.0	2.0	4.0	4.277355093224292	11.94230980206414	13.27675618296117	23.72240597345027	0.23536569249456282	0.24860046489191878	0.25046984376092263	0.2655639988525963	0.04020280793380832	0.7012074030369085	0.2012150209104263	2.597569958179145	9.504117194435143E-4	9.504117194435145E-4	-2315.36956457846	-5010.919276981583	0.0	-284.3840959902349
120000	-10451.443592812315	-3120.641224218972	-7330.802368593342	121.59047544864958	7.497440207589455	22.447490109413007	44.58767329523421	21.537492881083313	71.28479713551813	28.358274023499092	26.865595102078874	102.59660256584465	64.49717982334451	121.84360296503249	8.0	6.0	10.0	6.0	11.0	7.0	4.0	2.0	1.0	4.0	3.470895306254043	10.27560367659574	15.94407859066032	23.53035653812119	0.24741903383278605	0.25456955841961965	0.2407273138259456	0.25728409392164914	0.0053417860378192576	0.6508457762246836	0.17539782497152956	2.649204350056938	9.570585934281086E-4	9.570585934281081E-4	-2312.0854842279355	-5018.716884365406	0.0	-289.38466399719374
130000	-10453.62010497319	-3119.0733033157876	-7334.546801657402	119.98680264111566	21.20679964596372	34.76027295522358	66.29512904854973	56.14594310139937	60.59175263191482	66.38507211857946	79.61526081370722	20.706087556401663	42.89539814499316	33.29933334018859	2.0	15.0	13.0	2.0	11.0	2.0	8.0	2.0	1.0	3.0	7.734242598785851	11.946340626957179	18.791353136617712	26.769797128325973	0.22702942714804414	0.2625160729651499	0.24120758303054804	0.2692469168562583	0.024145728134340932	0.5863236461356154	0.16731380286227457	2.665372394275448	0.001025364436736258	0.0010253644367362578	-2320.2837808474123	-5014.26302080999	0.0	-287.76048271864585
140000	-10461.642184375882	-3129.5896456831324	-7332.052538692749	138.2983333642856	30.649466096694415	60.11160343526428	48.74180127115353	137.23969171599728	442.37822911371245	95.59021082595712	254.67629691128417	20.117550352125562	5.807001951537805	15.015243525878763	11.0	16.0	16.0	1.0	1.0	6.0	3.0	2.0	2.0	1.0	3.6873688312300006	8.67988835931844	16.87785420465165	23.212068380081558	0.24362966653816454	0.26183913984142543	0.24539475662563598	0.2491364369947744	0.02004578409484414	0.7215626429157594	0.18745174740651155	2.625096505186973	8.746459470385628E-4	8.746459470385628E-4	-2310.359583654905	-5021.6929550378445	0.0	-293.1193665218048
150000	-10445.124588966515	-3103.83801739067	-7341.286571575845	123.90210311322998	9.95909996276224	21.61965120313492	42.74090963400536	122.51595464598907	97.11632826798713	49.07319983619836	98.1842467691489	24.771114424695426	9.808936380283484	40.47576973117688	10.0	9.0	17.0	3.0	4.0	5.0	6.0	3.0	1.0	1.0	5.726725055332488	11.836740970233047	12.66210863581879	22.926427978184314	0.24341964129647092	0.2698123742202402	0.23474648107637325	0.25202150340691576	0.010239030188157952	0.7257631372360848	0.1464412288920078	2.7071175422159794	0.0011455945300115026	0.0011455945300115023	-2318.430670361131	-5022.855901214714	0.0	-272.32215598029853
160000	-10430.359723655813	-3099.3753358918198	-7330.984387763993	115.2713949950878	18.602230486640433	47.26787347669758	26.202581312453457	18.090846887433653	20.50144624760912	46.75924656254039	70.20786214541057	11.487897871269215	6.842522811455314	24.417348988962406	14.0	9.0	8.0	3.0	2.0	14.0	3.0	3.0	2.0	1.0	4.434196459740657	13.185387908680143	17.31449814933187	27.40661045132036	0.24687977202694478	0.2557182636514698	0.23713835280944476	0.2602636115121408	0.019257121357369397	0.6858637255597672	0.12549486094779597	2.7490102781044037	0.0010702312052274247	0.0010702312052274247	-2310.1106227913997	-5020.873764972594	0.0	-272.476859814957
170000	-10451.476336437201	-3118.4837913619945	-7332.992545075206	114.60300780133736	30.054474872496368	45.2890621515275	14.954455047283446	27.801347712683842	39.75705336759416	49.32924439466939	80.05110782155207	67.4287531523446	33.19638802495331	117.9336391298584	13.0	9.0	4.0	3.0	5.0	13.0	3.0	6.0	1.0	2.0	5.9871651020831615	7.5892463195622275	16.92661866242903	24.880624972826684	0.22876098981468046	0.267711522794125	0.24698106343754092	0.25654642395365357	0.0052889400661770974	0.7229228522961907	0.16942170498883424	2.661156590022327	9.752010232828709E-4	9.752010232828706E-4	-2313.9165594789856	-5019.075985596221	0.0	-287.5853775829877
180000	-10446.636419560062	-3111.003284201369	-7335.633135358694	131.19197769427868	27.05880102294284	65.27471600879419	52.669039675897224	50.04834909462073	82.34845287899118	15.770661283094004	40.72764629655339	120.66619310088517	23.31620444871038	39.215302922265494	17.0	4.0	2.0	8.0	15.0	5.0	1.0	1.0	5.0	1.0	2.9088329995680278	7.661925246473406	13.991731031331174	25.048726873413973	0.23044950692712945	0.2675720952436672	0.24311657391524027	0.25886182391396306	0.006007156505350822	0.8041250893397274	0.16719760528469235	2.6656047894306103	9.97678782684668E-4	9.976787826846683E-4	-2314.9265046113783	-5020.706630747315	0.0	-279.5376543201471
190000	-10445.122517753669	-3112.7848144108093	-7332.33770334286	129.23788968042052	11.767586531302845	49.328403505527675	26.389456570306056	29.820103946808146	51.45481758659099	42.93053686238097	73.85265040039951	91.26676200737319	16.59095059815477	17.159909624656205	14.0	9.0	10.0	1.0	16.0	1.0	1.0	3.0	3.0	1.0	4.527317720075419	7.864699180400303	15.15686702809721	23.906747781463427	0.2129456999636578	0.2842240604294178	0.24503860708484995	0.2577916325220745	0.018175024981156716	0.6380444951757392	0.1373802119903645	2.725239576019266	0.001020564683267672	0.0010205646832676717	-2316.0492959930134	-5016.288407349846	0.0	-284.49088741761005
200000	-10444.67556866949	-3105.3307954932548	-7339.344773176235	111.74054572914791	18.513974971382183	30.963099585071202	22.558286413338084	69.00376610417734	26.86886048823515	116.30903645148561	46.83323960485389	31.888577687262632	59.32438593708898	25.963859351323265	3.0	21.0	12.0	1.0	3.0	5.0	1.0	5.0	6.0	2.0	5.941078886009001	8.92286928299615	17.157923299296765	25.357971579670583	0.2347532578147174	0.27332756422520377	0.2262100555937222	0.2657091223663565	0.06731676376265851	0.7404939610718132	0.16597933095557127	2.6680413380888517	0.001057594164255547	0.0010575941642555471	-2316.6820287224123	-5022.662744453823	0.0	-273.5174536310872
210000	-10440.53618959862	-3108.9464801146805	-7331.589709483941	118.3931650871762	13.690947435021265	29.48574334154608	42.51924843367316	124.63391491800888	37.926157063452514	65.84960828379303	11.04853251565863	26.835692423184433	114.11631695471152	24.207946720416253	3.0	19.0	13.0	2.0	1.0	8.0	1.0	5.0	1.0	6.0	5.189578066561992	9.514932419356205	16.514838383099743	25.22199138492213	0.23369514419932963	0.2676488812492728	0.23649410852172434	0.2621618660296733	0.056560033593654545	0.9056072720147712	0.18200149620312123	2.635997007593752	0.0010897941788432107	0.0010897941788432105	-2314.520975179993	-5017.068734303948	0.0	-275.54799979618207
220000	-10459.76626051285	-3123.17536275566	-7336.590897757191	119.6082321498671	15.2479610600063	26.270675801245655	43.182497420510074	100.65426839561376	385.52810790103854	38.249051309511486	31.279443626593114	75.16476788022656	278.3505373095643	68.20298671162867	1.0	12.0	12.0	12.0	4.0	6.0	3.0	2.0	1.0	6.0	4.709769169975508	11.438599997419493	14.712318437111502	21.929047872927203	0.21683038245379835	0.25324384912836134	0.24867064223902072	0.28125512617881937	0.024678902140455487	0.6948068221697135	0.12677664466410452	2.7464467106717856	0.0010958203780029984	0.001095820378002999	-2318.9453486212788	-5017.645549135912	0.0	-284.82458228314994
