#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:GI.2_aa_polym_n17.tree" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:GI.2_aa_polym_n17.tree" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:GI.2_aa_polym_n17.tree" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:GI.2_aa_polym_n17.tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:GI.2_aa_polym_n17.tree">
#                    <trait id="dateTrait.t:GI.2_aa_polym_n17.tree" spec="beast.evolution.tree.TraitSet" traitname="date" value="MG515479_Hu/GI.2/Shenzhen-22_2016=2016,MG515476_Hu/GI.2/Shenzhen-2_2016=2016,MG515477_Hu/GI.2/Shenzhen-5_2016=2016,MG515478_Hu/GI.2/Shenzhen-10_2016=2016,MH541042_Hu/DE/2015/GI.2/LeipzigP4-D_2015=2015,MH541039_Hu/DE/2015/GI.2/LeipzigP4-A_2015=2015,MG012441_Hu/US/2016/GI.2/Oakland6371_2016=2016,MF431582_Hu/GI.2/Dublin/2016/IRL_2016=2016,MG012442_Hu/US/2016/GI.2/Oakland3023_2016=2016,MG012440_Hu/US_GI.2/Nashville9411_2015=2015,MK250988_Hu/BRA/2015/GI.2/TO-90_2015=2015,MK250987_Hu/BRA/2014/GI.2/TO-89_2014=2014,MK250986_Hu/BRA/2013/GI.2/TO-07_2013=2013,MK250984_Hu/BRA/2014/GI.2/TO-31_2014=2014,MK250985_BRA/TO-66_2015=2015,MK250983_Hu/BRA/2015/GI.2/TO-65_2015=2015,AB623037_Sapovirus_Hu/OH08021/2008/JP_2008=2008">
#                        <taxa id="TaxonSet.GI2_aa_n17" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.GI2_aa_n17"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:GI.2_aa_polym_n17.tree" jeffreys="true" parameter="@bPopSizes.t:GI.2_aa_polym_n17.tree" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:GI.2_aa_polym_n17.clock" name="distribution">
#            <parameter id="clockRate.c:GI.2_aa_polym_n17.clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:GI.2_aa_polym_n17.model" name="distribution">
#            <parameter id="gammaShape.s:GI.2_aa_polym_n17.model" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@GI2_aa_n17" id="treeLikelihood.GI2_aa_n17" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:GI.2_aa_polym_n17.tree">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:GI.2_aa_polym_n17.model" shape="@gammaShape.s:GI.2_aa_polym_n17.model" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GI.2_aa_polym_n17.model" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GI.2_aa_polym_n17.model" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:GI.2_aa_polym_n17.model" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GI.2_aa_polym_n17.clock" id="StrictClock.c:GI.2_aa_polym_n17.clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	gammaShape	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
160000	-2469.67479972961	-2396.935762267824	-72.73903746178611	-2396.935762267824	210.8397065036339	6.745317622786672E-4	1.0	0.40416658797458344	-51.21279137425641	9.998764149761339	3.175059443471356	15.203674382134508	10.353389292919559	46.75575347249782	2	6	5	1	2
170000	-2465.5016252979144	-2393.2330277328592	-72.26859756505523	-2393.2330277328592	318.9359109688155	4.206179048914569E-4	1.0	0.3781469825858749	-52.57813971058495	1.5771133494465333	5.168847992555921	5.086149254005895	10.84834072183932	68.92608378363059	1	4	6	3	2
180000	-2452.3145714946077	-2399.5820985930395	-52.73247290156796	-2399.5820985930395	113.72329140532885	0.0013258353454483735	1.0	0.4288500035054879	-34.98647764817702	3.393019855673345	2.884488019235376	7.419889410306332	12.004227712351538	51.43359636747468	12	1	1	1	1
190000	-2433.4469313875566	-2403.534213364366	-29.912718023190138	-2403.534213364366	45.94554297479336	0.0032444325138653784	1.0	0.14130507886303156	-17.77600508658361	1.3476075212234182	0.4766974144731079	1.0909025535568486	2.992420784431849	16.671576513119824	4	8	1	2	1
200000	-2451.8996384062657	-2401.3688052121784	-50.5308331940875	-2401.3688052121784	65.71733316146803	0.00178059470066506	1.0	1.102642359250047	-36.44695713839408	7.162067411407326	1.347177970592811	1.2778057486247432	3.6279132779175587	11.74008500413277	6	5	2	2	1
210000	-2445.8109177349183	-2401.437843814278	-44.373073920640344	-2401.437843814278	76.24705421501935	0.0016022550395090205	1.0	2.52151057264939	-30.720410669715264	1.633500244875726	1.9847995457232785	1.9569982429127535	4.048228578998101	12.650108830192764	4	7	2	2	1
220000	-2441.534400423337	-2398.9790491020462	-42.55535132129098	-2398.9790491020462	70.40112404177057	0.0015544281646968168	1.0	1.1820501939063217	-29.806510599113075	1.700764709158853	1.2511430926587628	1.9122487425844725	2.5774174986471508	13.076852052918973	2	1	11	1	1
230000	-2450.2187893845667	-2397.773442776827	-52.44534660774	-2397.773442776827	98.04391302811099	0.0011563005596078371	1.0	0.9654142976164014	-34.68433898766294	2.8261764853060733	1.2714569356874943	4.7536195225307285	6.3236569773908915	35.131010116435554	4	6	4	1	1
240000	-2435.4769888755777	-2399.9516522984914	-35.52533657708642	-2399.9516522984914	50.104700344209824	0.0027352992029017263	1.0	0.45517014406336337	-22.596261858081068	0.6905401212757137	1.8902084056731558	2.744390249933454	5.1665155789235	19.9131008623186	10	1	3	1	1
250000	-2453.8079645213675	-2398.155410829793	-55.652553691574674	-2398.155410829793	143.488454393071	8.967293187398962E-4	1.0	0.6582525030793035	-35.30376178290538	1.5814372099919434	5.789448997074792	2.52663920020907	4.658931608124011	40.11775278005731	11	1	1	2	1
260000	-2439.7958006921303	-2393.823238071534	-45.97256262059624	-2393.823238071534	97.08003418062277	0.0012767552335093948	1.0	0.4718620757679869	-31.18114992056455	0.9441983170421754	1.2671150058496208	2.4581176017403146	4.805751577653359	31.196294960843204	2	1	11	1	1
270000	-2465.4651739618826	-2397.3134163944446	-68.15175756743783	-2397.3134163944446	188.4916669810419	6.590007522842464E-4	1.0	0.7304976846067619	-50.18466747944789	5.492356514780837	10.821694434363309	8.204968429458246	13.50669384995706	31.953107180010132	8	5	1	1	1
280000	-2457.060887200094	-2395.129554300253	-61.931332899840996	-2395.129554300253	197.5506778129367	7.186921814632123E-4	1.0	0.3241004170259334	-45.583033729935934	9.43940925904413	5.473581854064837	3.849660345630035	7.6979812618237675	24.346422789186807	1	8	1	5	1
290000	-2455.6873118836047	-2396.77402676114	-58.91328512246485	-2396.77402676114	118.06472062014461	0.001122946215205402	1.0	0.5827066802436132	-41.84202455906552	4.342698336148159	2.872103154985827	3.6718640349124083	13.807336724484498	39.63380548221879	9	3	2	1	1
300000	-2452.5595853883265	-2396.098631590806	-56.4609537975207	-2396.098631590806	137.15838695170913	0.0011397533688662052	1.0	0.3467059459169336	-35.035481071139635	20.973206641969437	0.6773104054222325	3.8720878039822177	4.510994877589399	25.295103396046333	1	6	7	1	1
310000	-2449.282114811474	-2395.2666347336212	-54.01548007785267	-2395.2666347336212	162.51890836301533	8.685221655601033E-4	1.0	0.40918061240754944	-37.31646681712578	1.9135089270786885	1.733448651988131	6.8952006658534435	7.147859446919942	33.05116548020319	2	7	5	1	1
