# BEAST v1.8.4
# Generated Mon Sep 13 16:59:13 JST 2021 [seed=1631519942828]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
100000	-6775.848636307955	-2325.461886091386	-4450.3867502165685	38.188551284830396	0.1862309742085736	0.4105267914558743	1.1045842684771705	2.7447700002946545	1.5489654318563741	2.157972683044549	1.5519285615427616	0.9163261586106728	0.40610427792459236	0.47421177313108037	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	8.605566780814199	16.32097800454528	0.2654009662619414	0.2673407231438998	0.22614110350570812	0.24111720708844997	0.3971423512103341	0.004355301080881058	0.004355301080881058	-4450.3867502165685	0.0	-8.197519185890942
110000	-6779.323227678968	-2335.9800536871558	-4443.343173991811	42.87408153798056	0.3320123139508838	0.4136405548337158	2.63665969111067	2.3237621479248967	6.6848062898417275	0.7303245058643177	0.6057689943360158	0.9468967558722099	1.768468985308083	3.3170209616935264	1.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.132798991118527	18.222442912740327	0.25714739814905063	0.2552164165119761	0.23786114208482753	0.24977504325414504	0.2099489470098258	0.003738961381698259	0.0037389613816982605	-4443.343173991811	0.0	-10.74136145913523
120000	-6778.266688702243	-2330.81585931422	-4447.4508293880235	38.287776250091056	0.23363484407419027	0.5284934189342112	0.88381246975672	1.196828878886678	5.3034671770797726	3.258931585385435	0.3664147354668531	0.5045011836813676	0.38477466326113674	0.7829373978113058	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	11.69641339800404	23.186021211867725	0.25892873259638427	0.2653616454919635	0.23105563604835652	0.244653985863295	0.23797947701030278	0.004519713619899734	0.004519713619899734	-4447.4508293880235	0.0	-10.923829225154766
130000	-6782.166496680758	-2345.083856116866	-4437.082640563892	52.21689093876491	0.30598467282620484	0.21976769123055206	0.39816596656950193	1.1570091936939382	4.456368453027383	0.42923541094551615	0.9565661379282513	2.1571127350694455	3.1001259593643566	12.744724842379977	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	11.039326742732223	18.386726972997472	0.26394069695540123	0.2617861226044444	0.2321373951500195	0.2421357852901343	0.15219724548250924	0.002982395048405917	0.0029823950484059165	-4437.082640563892	0.0	-20.524330421147496
140000	-6779.839501266357	-2333.7461945383197	-4446.093306728037	41.57525772509547	0.8050881459839234	0.45477659549102045	1.2101491387235812	2.5794455014971756	3.868941030117822	1.477970055686717	0.9399772532738727	1.2758400260852838	1.5666750621180232	2.5334821964152408	1.0	2.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	7.5467175473652155	13.06164372527571	0.2591886172384194	0.26917022850291433	0.24236166740654544	0.22927948685212035	0.30056487029894996	0.0036738501513829177	0.0036738501513829186	-4446.093306728037	0.0	-12.930507585402474
150000	-6787.901576469533	-2340.216130935084	-4447.685445534449	46.99402401420513	0.09157969237735945	0.2763263716124014	1.2469824117677535	1.7573342531000533	4.570926599711088	2.0562712063191255	1.822710152747177	4.1440638700837615	2.8185491638446134	7.781842269151145	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	8.561671167517845	17.539617015374066	0.26622925315956103	0.2456098934598002	0.24560814069844453	0.2425527126821938	0.40770537071503443	0.0029039068143667007	0.002903906814366701	-4447.685445534449	0.0	-14.3417290381732
160000	-6779.668297169092	-2328.1460994076047	-4451.5221977614865	38.32006898972687	0.3086513461740272	0.15053246677798415	0.4608837402940635	0.26024581438966343	0.8641804582066752	0.5235491842694712	0.8270506490676988	0.7450646249869138	1.7145040917367185	1.9149793666893127	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	7.515670717095058	12.330605351981367	0.27328410353984417	0.26617177928591645	0.24126541641703692	0.21927870075720185	0.1505942484159157	0.004499005578612837	0.004499005578612837	-4451.5221977614865	0.0	-15.097080276226501
170000	-6785.354307402969	-2342.6263054861456	-4442.728001916824	43.451886922177934	0.8224889561066165	0.8846375574650194	1.9231123999900372	3.6579732193041123	1.25631397393676	2.3547247806109306	1.1648775583917779	1.8626925635672533	4.780681450979943	2.582622512076989	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	10.63760647404437	22.423083315468666	0.25246812765202026	0.26636443081613037	0.22997068744569987	0.25119675408614883	0.22377835486192674	0.0037966496457249575	0.0037966496457249575	-4442.728001916824	0.0	-17.124388076112044
180000	-6786.446989262957	-2341.0826749875064	-4445.36431427545	48.18669472227201	0.6004860469453813	0.31319244919498856	0.2011817742612305	0.6314341909460999	2.1388552146248383	4.6125435602604234	2.0155691741157833	5.6232135206251135	2.8311515015838964	5.2936508288753235	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	7.233741519961756	16.561329331009762	0.2598399158498814	0.2545622429856583	0.23466675782968222	0.2509310833347774	0.17199645630601124	0.0031773166797515037	0.003177316679751504	-4445.36431427545	0.0	-17.680407018031175
190000	-6774.7206558972575	-2331.7480514215986	-4442.972604475659	43.98605127077771	0.3579059027816708	0.24478721531739422	0.7426591860310776	2.0585444487495916	1.4068008867104342	3.3336401750550033	0.747304911763361	0.8878093267016052	0.7189224890538896	1.3964402499281736	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	10.492057645252068	15.394441930212363	0.2616487509754878	0.25416912082940524	0.22919368120490716	0.2549884469901993	0.2296021725193393	0.003609200115257974	0.003609200115257974	-4442.972604475659	0.0	-13.08461417941463
200000	-6778.776610276171	-2337.043106031793	-4441.733504244377	45.089439302676155	0.5773753083970117	0.4073086154734317	0.46674095275602007	2.1214325794254005	2.8725212093364023	5.446496651744483	1.4920240892104801	1.36667661787423	3.1095054026224522	3.8418510730287023	2.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	10.937721211639222	16.479743077636584	0.27023144691167134	0.24735991485885897	0.24526217538798473	0.23714646284148452	0.180415566208299	0.0038543472824151587	0.0038543472824151587	-4441.733504244377	0.0	-12.753176436568978
210000	-6783.309681006471	-2343.2655230456508	-4440.0441579608205	44.29578426025683	1.1739976041676938	0.8466820185658039	1.1101828607062383	3.7296386759163225	2.583405816155744	4.728996783528786	1.4861570883349244	0.6586513466119457	2.1066443847510397	4.755475453484434	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	10.425129503147776	18.00413004900894	0.2558187181999532	0.23977193318751971	0.24639933114851717	0.25801001746400953	0.24180271978302115	0.003292482972219066	0.003292482972219066	-4440.0441579608205	0.0	-16.874445129505403
220000	-6786.978369947417	-2337.0819641002395	-4449.896405847177	41.51701515722377	0.17304583305747095	0.32889296384375366	1.1292999498815621	2.082590129075262	3.243989833568308	3.8913271314273805	1.2832500757776264	1.9007858411998546	0.9831901889098187	1.625070941324146	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	15.114970483912606	27.284892567873584	0.26078663529059093	0.2619389912118109	0.2352758902674312	0.2419984832301666	0.1885214973604532	0.0036772472917522944	0.003677247291752294	-4449.896405847177	0.0	-14.356434394735993
