#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:GI" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:GI" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:GI" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:GI" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:GI">
#                    <trait id="dateTrait.t:GI" spec="beast.evolution.tree.TraitSet" traitname="date">
#                AB436383.1_Sapovirus_Nagano18-4_JPN_GI.1_2004=2004.0,
#X86560/Manchester/GI.1_1995=1995.0,
#Tokyo/08/3992/AB622439.1_GI.1_2008=2008.0,
#Tokyo/08-3677/AB622437_GI.1_2008=2008.0,
#Tokyo/08-2932/AB622436_GI.1_2008=2008.0,
#Tokyo/08-1337/AB622432_GI.1_2008=2008.0,
#Sapporo/MT-2010/HM0026171982_GI.1_2010=2010.0,
#NongKhai-50/Thailand_AY646853.2_GI.1_2002=2002.0,
#Nagano18-9/Jun2004_AB436384_GI.1_2004=2004.0,
#Maizuru/2008_HM030921.1_GI.1_2008=2008.0,
#Maizuru/2008/_HM030922__GI.1_2008=2008.0,
#Lyon/30388/98/F_AJ251991__GI.1_1998=1998.0,
#Houston/86_U95643_GI.1_1986=1986.0,
#HM030920.1_Maizuru/GI.1_2008=2008.0,
#U95643_Houston_USA_GI.1_1986=1986.0,
#Manchester_GI.1_1995=1995.0,
#HM002617_Sapporo_GI.1_1982=1982.0,
#AY646853_NongKhai_50_Thailand_GI.1_2002=2002.0,
#AY237423_N21_Thailand_GI.1_2002=2002.0,
#Ehime_742S/AB448762_GI.1_2007=2007.0,
#AY237422_Mc114_GI.1_2001=2001.0,
#Chiba/010250/2001_AJ606695_GI.1_2001=2001.0,
#sapo_U65427_GI.1_1982=1982.0,
#MG012439.1_Sapovirus_PE_Lima1863_GI.1_2016=2016.0,
#MG012438.1_Sapovirus_Nashville9478_GI.1_2014=2014.0,
#MG012437.1_Sapovirus_Nashville9432_GI.1_2014=2014.0,
#MG012436.1_Sapovirus_Lima1870_GI.1_2016=2016.0,
#KX980412.1_Sapoviru_GI/Hunan/CHN_GI.1_2016=2016.0,
#AY237423.2_Sapovirus_N21_GI.1_2002=2002.0,
#AY237422.3_Sapovirus_Mc114_GI.1_2003=2003.0,
#AY646854.2_Chanthaburi-74_Thailand_GI.1_2002=2002.0,
#KT327081.1_Sapovirus_Zhejiang1/CHN_GI.1_2014=2014.0,
#KP298674.1_Sapovirus/Seoul/ROK62_KOR_GI.1_2013=2013.0,
#MG012400.1_Sapovirus_US/Nashville9491_GI.1_2014=2014.0,
#MG012399.2_Sapovirus_US/Portland3639_GI.1_2014=2014.0,
#MG012398.1_Sapovirus_PE/Lima1845_GI.1_2014=2014.0,
#MG012397.1_Sapovirus_US_Nashville9427_GI.1_2014=2014.0,
#MG012435.1_Sapovirus_US_Nashville9691-1_GI.1_2013=2013.0,
#19_peru_SP088X_GI.1_2017=2017.0,
#1_peru_SP031X_GI.1_2017=2017.0,
#9_peru_SP0051X_GI.1_2017=2017.0,
#s64_02_miyagi_outbr_GI.1_2013K9_2013=2013.0,
#s65_03_miyagi_outbr_GI.1_2013K9_2013=2013.0,
#s90_5_miyagi_outbr_GI.1_2015K4_2015=2015.0,
#s84_11_miyagi_outbr_GI.1_2016K111_2016=2016.0,
#s82_09_miyagi_outbr_GI.1_2016K111_2016=2016.0,
#s93_08_miyagi_outbr_GI.1_2015K4_2015=2015.0,
#s92_07_miyagi_outbr_GI.1_2015K4_2015=2015.0,
#s91_06_miyagi_outbr_GI.1_2015K4_2015=2015.0,
#MN794206.1_Sapovirus_GI.1_isolate_C117_1978=1978.0,
#MN794207.1_Sapovirus_GI.1_isolate_C130_1978=1978.0,
#MN794208.1_Sapovirus_GI.1_isolate_HK37_1977=1977.0,
#MN794209.1_Sapovirus_GI.1_isolate_KL43_1978=1978.0,
#MN794210.1_Sapovirus_GI.1_isolate_T053_1976=1976.0,
#HM030923.1_GI.1/8894/Osaka_2009=2009.0,
#MH477427.1_Sapovirus_GI_isolate_Hu/Guangzhou/GZ2013-L013/CHN_2013=2013.0,
#MH477428.1_Sapovirus_GI_isolate_Hu/Guangzhou/GZ2013-L030/CHN_2013=2013.0,
#MH477429.1_Sapovirus_GI_isolate_Hu/Guangzhou/GZ2014-L078/CHN_2014=2014.0,
#MH477433.1_Sapovirus_GI_isolate_Hu/Guangzhou/GZ2015-L333/CHN_2015=2015.0,
#MH477436.1_Sapovirus_GI_isolate_Hu/Guangzhou/GZ2015-L454/CHN_2015=2015.0                
#                                    <taxa id="TaxonSet.GI1_VP1_AA_inframe_n60" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.GI1_VP1_AA_inframe_n60"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:GI" jeffreys="true" parameter="@bPopSizes.t:GI" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:GI.1_vp1" name="distribution">
#            <parameter id="clockRate.c:GI.1_vp1" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@GI1_VP1_AA_inframe_n60" id="treeLikelihood.GI1_VP1_AA_inframe_n60" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:GI">
#            <siteModel gammaCategoryCount="5" id="SiteModel.s:GI.1.model" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GI.1.model" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:GI.1.model" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GI.1.model" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:GI.1.model" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GI.1_vp1" id="StrictClock.c:GI.1_vp1" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	
270000	-2384.328789282203	-2174.0100468436635	-210.31874243853957	-2174.0100468436635	65.92131500567605	4.5593884845633614E-4	1.0	-193.31811964032013	16.962796984312796	9.269493424648413	9.46786606565923	15.26221995984522	14.631921944425304	7	1	41	8	2	
280000	-2385.6701130885785	-2173.6225154842414	-212.04759760433723	-2173.6225154842414	60.741874013233655	4.657668610460347E-4	1.0	-194.49083390447893	13.242958331455856	19.716528217918807	10.416287704346198	18.151658538179603	7.378391559544929	7	1	37	6	8	
290000	-2391.9602701193144	-2183.367401448135	-208.59286867117947	-2183.367401448135	57.02078280990162	4.2925320980419647E-4	1.0	-192.05123710016835	7.545021509513165	9.865228211205398	8.80924673329717	16.641107821670744	18.86498003457854	4	8	33	10	4	
300000	-2401.052310013029	-2181.6736439578754	-219.37866605515353	-2181.6736439578754	64.9173422422833	3.8406608117141255E-4	1.0	-199.96106983724428	58.55955479896354	24.43523332440976	6.353477574468337	10.724232386960646	16.030130352927802	3	2	30	13	11	
310000	-2384.0360318846692	-2171.233085579511	-212.80294630515795	-2171.233085579511	66.24542445619093	4.5675997032240966E-4	1.0	-196.7773050403297	15.336637538330825	8.834305638752404	10.429371860220158	11.192504890205013	8.919170461066367	10	4	34	9	2	
320000	-2404.003322412676	-2181.4638686277694	-222.53945378490639	-2181.4638686277694	94.43102912540144	3.905229268188005E-4	1.0	-203.11707621231216	20.766290431358723	7.702365524678017	8.538457568822503	4.00651255199406	23.369979252251873	21	1	23	6	8	
330000	-2393.12939921578	-2176.234618714765	-216.89478050101482	-2176.234618714765	69.0053063424142	3.8741042339688275E-4	1.0	-200.90863321012816	21.44915897108675	7.284886110138828	9.448518679886403	9.780085882840805	6.562813290529739	22	4	24	8	1	
340000	-2395.5634586695523	-2173.217216055378	-222.3462426141745	-2173.217216055378	70.00246000349443	4.030642463374598E-4	1.0	-205.1811152025093	8.082137137712909	10.483556695391599	8.134069215913096	17.01351549040448	26.2226900770355	10	28	2	7	12	
350000	-2386.5594762969185	-2177.166293108507	-209.39318318841129	-2177.166293108507	61.80653153057579	5.485904253054704E-4	1.0	-192.316829479344	30.6093710422648	7.816165919040584	3.7469367191073095	10.369721624002189	10.530073973786788	11	15	6	13	14	
360000	-2386.8596432324885	-2177.0028896507883	-209.85675358170022	-2177.0028896507883	53.099489386405345	3.9074026487777747E-4	1.0	-194.49093043272342	17.4411015966182	11.468007907968072	5.0771443658528	7.873040653605344	6.845423254424358	13	12	8	3	23	
370000	-2397.2781662273205	-2184.2880287345683	-212.99013749275238	-2184.2880287345683	56.51695759271308	4.3891289435241224E-4	1.0	-192.3464470396267	30.736316099412935	35.6458052989462	6.87288275575576	0.759976987345708	5.398068541399876	6	6	16	1	30	
380000	-2381.934513721891	-2173.3973645959304	-208.53714912596058	-2173.3973645959304	59.27041505332616	5.666078362776999E-4	1.0	-190.1928697124063	56.92902476333348	45.65149037799937	2.309282997281154	3.1783748284584683	7.048019149693052	11	3	11	6	28	
390000	-2382.965307708603	-2172.999803850666	-209.96550385793694	-2172.999803850666	73.24093179405007	4.3140390561614356E-4	1.0	-193.9474328570378	14.330621163467404	11.469220436039725	4.727433419703145	3.056106241630211	11.38126594260924	11	16	12	3	17	
400000	-2391.2614445160075	-2176.2963443625113	-214.96510015349637	-2176.2963443625113	65.06335696316063	5.543717719214309E-4	1.0	-198.473015970193	17.85141091966593	2.0845644949557847	4.177222303557232	12.398110130686659	11.871012043224344	16	8	2	13	20	
410000	-2384.067468970026	-2182.317792884105	-201.74967608592075	-2182.317792884105	52.66974163012242	6.033853981236805E-4	1.0	-183.98539667927676	38.909275411067824	4.348529631827816	5.907830643583821	15.495065233519359	5.609722818017656	11	11	3	4	30	
420000	-2389.8079915211074	-2179.1355059344182	-210.6724855866894	-2179.1355059344182	70.34443858273904	3.666408761432983E-4	1.0	-194.50947322964717	29.395121870324	17.8226833437665	7.2440449188920715	3.3699157288363084	6.227106066196353	14	3	5	11	26	
430000	-2411.506070888135	-2170.551884159867	-240.95418672826818	-2170.551884159867	93.9162437247294	2.994832094186712E-4	1.0	-222.65865914012497	39.47540774387926	7.614153246216168	6.604578103781174	13.472792037152175	17.858442305541114	12	12	3	1	31	
440000	-2389.0048356298457	-2175.5051025043986	-213.49973312544705	-2175.5051025043986	56.26669176068554	5.016641331983144E-4	1.0	-195.48951351595844	38.47776020986966	42.28159471899996	12.859315411894274	5.773649931946411	4.655612093591986	3	11	13	9	23	
450000	-2384.282758395394	-2181.732015139021	-202.550743256373	-2181.732015139021	60.41085308133194	5.332080709161947E-4	1.0	-183.56390144573928	8.153159575179375	13.90624568524853	46.150641888311846	10.585905666134074	7.543047229345065	6	1	4	4	44	
460000	-2412.913400559429	-2181.846169517474	-231.06723104195518	-2181.846169517474	79.00950623455773	3.7825473944402084E-4	1.0	-211.6719356408335	20.31007415379916	43.09685237700898	21.266241257924552	10.463953291443268	11.480128448186235	8	2	6	6	37	
470000	-2393.047323236937	-2185.2194491603213	-207.8278740766156	-2185.2194491603213	69.9327757100537	4.27428227728371E-4	1.0	-192.62120181935745	9.936991324534096	2.9557610473138416	8.945708069569505	7.263453730688753	8.864511824063545	10	6	7	1	35	
480000	-2393.8553872548828	-2191.048476375651	-202.8069108792322	-2191.048476375651	61.59424868246971	5.642193130859312E-4	1.0	-183.10650455674866	9.88584120258763	45.95107217564163	5.61000697389465	3.5725854283599556	10.30941021923456	9	4	25	14	7	
490000	-2384.117082159756	-2185.387880726021	-198.72920143373472	-2185.387880726021	66.12957488107303	5.497344669344157E-4	1.0	-185.64622653858035	8.696147651840747	5.866654790133993	5.469358474937667	5.799316641690535	5.00941708322615	11	6	29	10	3	
500000	-2396.431185603565	-2192.5320994745243	-203.899086129041	-2192.5320994745243	65.32949700672806	7.017003213949481E-4	1.0	-188.35532307960946	13.039633753362853	7.013353799622659	5.757689072795015	9.814923167276017	13.368380841598862	15	9	19	1	15	
510000	-2391.4983852341365	-2174.911577960162	-216.5868072739743	-2174.911577960162	64.94680378147363	4.4215747538211083E-4	1.0	-200.01203536672037	20.393814988426037	9.275729096825032	10.748608040558265	7.376480668543385	12.126508973225006	14	10	10	5	20	
520000	-2406.7905079858347	-2174.195058777081	-232.59544920875334	-2174.195058777081	65.37395018873708	4.2696836308754566E-4	1.0	-215.23170927421725	16.89860525871124	12.302255105949978	16.046756430184498	9.077302915614982	14.706624874525414	16	20	14	3	6	
530000	-2402.7262331849433	-2177.9387411886455	-224.787491996298	-2177.9387411886455	59.32978595794314	3.686789407015457E-4	1.0	-208.66405308269765	14.083965367919527	9.271374998832965	12.191064984096755	11.168605552747659	8.971578227575549	15	14	11	7	12	
