#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:sav GI.1.tree" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:sav GI.1.tree" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:sav GI.1.tree" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:sav GI.1.tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:sav GI.1.tree">
#                    <trait id="dateTrait.t:sav GI.1.tree" spec="beast.evolution.tree.TraitSet" traitname="date-backward" value="AB436383.1_Sapovirus_Nagano18-4_JPN_GI.1_2004=2004,X86560/Manchester/GI.1_1995=1995,Tokyo/08/3992/AB622439.1_GI.1_2008=2008,Tokyo/08-3677/AB622437_GI.1_2008=2008,Tokyo/08-2932/AB622436_GI.1_2008=2008,Tokyo/08-1337/AB622432_GI.1_2008=2008,Sapporo/MT-2010/HM0026171982_GI.1_2010=2010,Nagano18-9/Jun2004_AB436384_GI.1_2004=2004,Maizuru/2008_HM030921.1_GI.1_2008=2008,Maizuru/2008/_HM030922__GI.1_2008=2008,Lyon/30388/98/F_AJ251991__GI.1_1998=1998,HM030920.1_Maizuru/GI.1_2008=2008,U95643_Houston_USA_GI.1_1986=1986,HM002617_Sapporo_GI.1_1982=1982,AY646853_NongKhai_50_Thailand_GI.1_2002=2002,AY237423_N21_Thailand_GI.1_2002=2002,Ehime_742S/AB448762_GI.1_2007=2007,AY237422_Mc114_GI.1_2001=2001,Chiba/010250/2001_AJ606695_GI.1_2001=2001,sapo_U65427_GI.1_1996=1996,MG012439.1_Sapovirus_PE_Lima1863_GI.1_2016=2016,MG012438.1_Sapovirus_Nashville9478_GI.1_2014=2014,MG012437.1_Sapovirus_Nashville9432_GI.1_2014=2014,MG012436.1_Sapovirus_Lima1870_GI.1_2016=2016,KX980412.1_Sapoviru_GI/Hunan/CHN_GI.1_2016=2016,AY646854.2_Chanthaburi-74_Thailand_GI.1_2002=2002,KT327081.1_Sapovirus_Zhejiang1/CHN_GI.1_2014=2014,KP298674.1_Sapovirus/Seoul/ROK62_KOR_GI.1_2013=2013,MG012400.1_Sapovirus_US/Nashville9491_GI.1_2014=2014,MG012399.2_Sapovirus_US/Portland3639_GI.1_2014=2014,MG012398.1_Sapovirus_PE/Lima1845_GI.1_2014=2014,MG012397.1_Sapovirus_US_Nashville9427_GI.1_2014=2014,MG012435.1_Sapovirus_US_Nashville9691-1_GI.1_2013=2013,19_peru_SP088X_GI.1_2017=2017,22_peru_SP088X_GI.1_2017=2017,25_peru_SP265X_GI.2_2018=2018,26_peru_SP088X_GI.1_2017=2017,28_peru_SP088X_GI.1_2017=2017,30_peru_SP088X_GI.1_2017=2017,1_peru_SP031X_GI.1_2017=2017,2_peru_SP031X_GI.1_2017=2017,3_peru_SP031X_GI.1_2017=2017,5_peru_SP031X_GI.1_2017=2017,9_peru_SP0051X_GI.1_2017=2017,11_peru_SP051X_GI.1_2017=2017,s64_02_miyagi_outbr_GI.1_2013K9_2013=2013,s65_03_miyagi_outbr_GI.1_2013K9_2013=2013,s90_5_miyagi_outbr_GI.1_2015K4_2015=2015,s84_11_miyagi_outbr_GI.1_2016K111_2016=2016,s82_09_miyagi_outbr_GI.1_2016K111_2016=2016,s93_08_miyagi_outbr_GI.1_2015K4_2015=2015,s92_07_miyagi_outbr_GI.1_2015K4_2015=2015,s91_06_miyagi_outbr_GI.1_2015K4_2015=2015">
#                        <taxa id="TaxonSet.sav GI1" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.sav GI1"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ClockPrior.c:sav GI.1.clock" name="distribution">
#            <parameter id="clockRate.c:sav GI.1.clock" name="x">1.0E-4</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="PopSizePrior.t:sav GI.1.tree" name="distribution" x="@popSize.t:sav GI.1.tree">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@sav GI1" id="treeLikelihood.sav GI1" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sav GI.1.tree">
#            <siteModel id="SiteModel.s:sav GI.1.mode" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:sav GI.1.mode" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sav GI.1.mode" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sav GI.1.mode" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:sav GI.1.mode" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:sav GI.1.clock" id="StrictClock.c:sav GI.1.clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	popSize	CoalescentConstant
330000	-2296.0366670219255	-2093.8044649057265	-202.2322021161992	-2093.8044649057265	45.288303014507804	4.405491886041522E-4	1.0	15.147783847174418	-199.51434787565844
340000	-2287.189049902218	-2081.881557789537	-205.3074921126807	-2081.881557789537	52.003838799666696	2.8766503086096156E-4	1.0	16.296144407244874	-202.5165635722807
350000	-2273.7676324386925	-2086.077529869471	-187.6901025692213	-2086.077529869471	44.15764687046834	3.442927184083824E-4	1.0	10.305049166990118	-185.35746858371218
360000	-2281.2379217687917	-2078.2704916833454	-202.9674300854463	-2078.2704916833454	48.167850094965836	3.265138280788608E-4	1.0	18.00825005605051	-200.07660009610694
370000	-2290.5777354253573	-2076.356294994833	-214.2214404305242	-2076.356294994833	49.854826436544684	3.342196622255053E-4	1.0	20.99513404456764	-211.17714973181364
380000	-2299.5978881805027	-2092.38924662317	-207.20864155733278	-2092.38924662317	56.38437554616173	4.866711555916981E-4	1.0	16.00518748414811	-204.43572866988097
390000	-2289.207721300409	-2083.709021311752	-205.49869998865682	-2083.709021311752	47.4084696209408	3.39381514869596E-4	1.0	20.37221171339461	-202.48452818731684
400000	-2272.9414202182957	-2086.108419833685	-186.83300038461098	-2086.108419833685	44.11832172427774	4.7260183597611414E-4	1.0	11.920880945036957	-184.35470882091963
410000	-2277.8409977466836	-2078.9216181926886	-198.91937955399482	-2078.9216181926886	46.826729154605964	3.1177976282675243E-4	1.0	15.359037875155657	-196.18767546657338
420000	-2301.3360594703954	-2086.963528465091	-214.37253100530475	-2086.963528465091	46.660456121593754	3.2851487528493065E-4	1.0	23.57962303996811	-211.21214809675385
430000	-2289.3130546698753	-2084.5731614451215	-204.73989322475379	-2084.5731614451215	52.63329516331356	3.462016928242687E-4	1.0	18.039341327417883	-201.84733822256982
440000	-2278.748501416598	-2079.5366750682715	-199.2118263483265	-2079.5366750682715	46.36391200663161	3.610442536343945E-4	1.0	13.836502011088593	-196.5845161749459
450000	-2279.157117052221	-2087.8216161212817	-191.33550093093913	-2087.8216161212817	45.054431481076556	5.141638237159645E-4	1.0	14.695815428987126	-188.64793814237387
460000	-2270.5276261716285	-2089.1222249255043	-181.40540124612446	-2089.1222249255043	42.976222881202716	3.4851059842260705E-4	1.0	12.030624458824422	-178.91794580902086
470000	-2292.3553970769144	-2087.807075551545	-204.54832152536957	-2087.807075551545	46.31249189685353	3.586119838297892E-4	1.0	18.824686260500396	-201.61315241793136
480000	-2277.5950453999344	-2091.952294121824	-185.64275127811078	-2091.952294121824	51.80063046568027	3.270599160906906E-4	1.0	13.94986123075874	-183.00728171750873
490000	-2281.15906595741	-2097.1246015058855	-184.03446445152437	-2097.1246015058855	43.243660569281964	4.3858740758834794E-4	1.0	10.36421693721632	-181.6961052572396
500000	-2265.745642703292	-2087.7096725355427	-178.03597016774955	-2087.7096725355427	45.99131413453579	4.5994210199215856E-4	1.0	13.328535060528386	-175.44606293753301
510000	-2308.1563887077596	-2082.204954688261	-225.95143401949892	-2082.204954688261	56.59787169430835	2.9462990074045263E-4	1.0	25.974397534247952	-222.69432267684428
520000	-2292.293150894133	-2083.450105005411	-208.84304588872183	-2083.450105005411	49.37256832573094	2.74877237465707E-4	1.0	20.973842682415917	-205.79976981393773
530000	-2305.045227630856	-2085.642134141322	-219.40309348953383	-2085.642134141322	47.294261134403364	3.9427975203872614E-4	1.0	22.31839244543238	-216.29768237766862
540000	-2278.755219053874	-2084.128253408433	-194.6269656454412	-2084.128253408433	45.481496864239084	3.18641316224084E-4	1.0	14.33114429598561	-191.96453055361508
550000	-2305.588334054127	-2080.1062818988025	-225.48205215532423	-2080.1062818988025	55.74918966307131	3.155697595925501E-4	1.0	22.25380961176207	-222.37953894286204
560000	-2278.1542276572736	-2090.9829666442993	-187.17126101297424	-2090.9829666442993	45.4080474620907	3.311316968036329E-4	1.0	9.896073698341752	-184.87912293062584
570000	-2290.4595331494666	-2082.5665894600334	-207.89294368943334	-2082.5665894600334	45.519465323393234	3.1590092523391567E-4	1.0	20.040766436752047	-204.8951751686011
580000	-2298.497752768595	-2086.81637809579	-211.6813746728052	-2086.81637809579	51.60105821296655	2.8473186797229325E-4	1.0	20.23523842965377	-208.67394911151473
590000	-2278.774730006414	-2079.909451595281	-198.86527841113255	-2079.909451595281	43.23005612004227	3.614531343623825E-4	1.0	15.123565652546091	-196.1490242446021
600000	-2295.904827954207	-2075.3576281130113	-220.54719984119563	-2075.3576281130113	56.316260459373495	2.901028390222672E-4	1.0	18.60083863452684	-217.62399317361513
610000	-2273.7260502955064	-2074.924066990979	-198.80198330452737	-2074.924066990979	44.50867988394003	3.882516914871053E-4	1.0	17.430729559172075	-195.94374858934975
620000	-2303.4062506192486	-2093.0933285787282	-210.3129220405201	-2093.0933285787282	48.954905363432104	3.72156730807693E-4	1.0	22.78591924748963	-207.18677927220335
630000	-2265.634958603665	-2082.78007186091	-182.85488674275467	-2082.78007186091	42.18739865088195	4.706853323743891E-4	1.0	11.863207603585785	-180.3814449301373
640000	-2291.953912557895	-2090.3289358844554	-201.62497667343956	-2090.3289358844554	53.28230754436166	3.462667314562633E-4	1.0	12.7440575688331	-199.07991158351362
650000	-2278.4267544900467	-2082.8655069894266	-195.56124750061994	-2082.8655069894266	40.34871576567778	4.055437013718613E-4	1.0	12.924583986390052	-193.0021162674831
660000	-2281.106687821126	-2079.7325781010836	-201.37410972004233	-2079.7325781010836	51.3686608641711	3.226199913037178E-4	1.0	17.781963077858883	-198.49592508672282
670000	-2279.373757157956	-2087.959705533436	-191.41405162451977	-2087.959705533436	44.67481611169828	3.459420282504774E-4	1.0	11.317496991883766	-188.9877016899852
680000	-2292.504002748984	-2082.835733744823	-209.66826900416103	-2082.835733744823	47.69495648069377	3.914302374574758E-4	1.0	16.626993644092227	-206.85724150636713
690000	-2302.643706815947	-2082.0283096240805	-220.61539719186663	-2082.0283096240805	57.65455658508975	2.2859926618458453E-4	1.0	27.33300921880334	-217.30730209118946
700000	-2287.979335147877	-2083.6548815293772	-204.32445361849977	-2083.6548815293772	51.16821158701918	3.3790933953906094E-4	1.0	14.737215779935346	-201.63407763832282
710000	-2325.50025448614	-2090.895648200598	-234.60460628554193	-2090.895648200598	57.65758345501428	3.5933645960902665E-4	1.0	29.196505796393733	-231.23055724793514
720000	-2296.199592556525	-2083.24774547164	-212.95184708488546	-2083.24774547164	52.51664814252567	2.7434885859745046E-4	1.0	28.778171851233154	-209.59222990694371
730000	-2278.791523533477	-2091.3991688018764	-187.39235473160062	-2091.3991688018764	45.71180102104539	3.6694086399220445E-4	1.0	10.532749267365768	-185.03786535051395
740000	-2283.9794794827803	-2087.896394021185	-196.08308546159523	-2087.896394021185	46.24764373433227	3.329491319785525E-4	1.0	16.596159984263384	-193.27391411924197
750000	-2292.732197055101	-2083.613172198075	-209.11902485702606	-2083.613172198075	50.27530387766934	3.6302395368326747E-4	1.0	17.159124445136378	-206.27649478727866
760000	-2309.251930176867	-2087.0041519475553	-222.24777822931156	-2087.0041519475553	52.54838504009477	2.7196693799011E-4	1.0	21.842479237161097	-219.16392156669252
770000	-2287.9175931020595	-2078.4067886201738	-209.5108044818858	-2078.4067886201738	45.92762008843459	2.7627624713743253E-4	1.0	24.523151279515815	-206.31118686033517
780000	-2282.45143561703	-2091.827884889812	-190.62355072721772	-2091.827884889812	47.59313195760144	3.557777733310248E-4	1.0	11.77699446033492	-188.1574027207384
790000	-2278.187854899376	-2088.2869465734966	-189.9009083258791	-2088.2869465734966	41.55810227100922	3.747971891741534E-4	1.0	11.885450507363823	-187.4255933202436
800000	-2283.466404477009	-2090.5949448318115	-192.8714596451975	-2090.5949448318115	50.17228763495753	2.6616754524889637E-4	1.0	17.193387023987853	-190.02693481065722
810000	-2277.226536705374	-2099.2879392166897	-177.93859748868445	-2099.2879392166897	42.669824586812005	3.6739124443970644E-4	1.0	12.448868268429461	-175.41696777203975
820000	-2269.8175061409	-2088.6939391442193	-181.12356699668098	-2088.6939391442193	43.17837404560215	5.325218258091527E-4	1.0	12.814361039293324	-178.57300049848308
830000	-2286.6110177532228	-2087.4635809111073	-199.14743684211533	-2087.4635809111073	43.20903361334953	3.5908252522455215E-4	1.0	14.700637442992905	-196.4595459858019
840000	-2279.399868789615	-2079.158380188817	-200.24148860079842	-2079.158380188817	45.475153452416606	3.394184245820445E-4	1.0	15.031541290177222	-197.53133785470786
850000	-2302.079441912923	-2089.7941820346355	-212.28525987828723	-2089.7941820346355	51.78534116822575	3.3543234548625856E-4	1.0	18.07068016066415	-209.39096913406695
860000	-2302.0948986750777	-2084.7411304874886	-217.3537681875891	-2084.7411304874886	45.902777394072615	3.545870475699718E-4	1.0	19.981786123639132	-214.3589470227867
870000	-2288.9561312808087	-2082.8222381106625	-206.13389317014617	-2082.8222381106625	50.26385250993743	2.9228279734514736E-4	1.0	18.871748256472955	-203.19622716765537
880000	-2297.5564200620024	-2080.1119285937652	-217.44449146823706	-2080.1119285937652	49.33348830775346	2.970344813434486E-4	1.0	23.994447747705888	-214.2666690084988
890000	-2300.7783189141273	-2082.670968458424	-218.1073504557033	-2082.670968458424	47.74948965186923	3.541443902295034E-4	1.0	20.833149607445037	-215.0708050065106
900000	-2285.1119877129677	-2084.203799791027	-200.90818792194074	-2084.203799791027	46.53752012664376	3.409607396186969E-4	1.0	15.519515928780663	-198.16608959782798
910000	-2275.016819789521	-2080.35373630668	-194.66308348284122	-2080.35373630668	43.11448052443586	3.321021874006993E-4	1.0	12.696471866523451	-192.1217593337574
920000	-2277.419043520461	-2075.426409872233	-201.99263364822804	-2075.426409872233	42.81578241972985	3.5652936615771804E-4	1.0	16.21792679051852	-199.206516425804
930000	-2286.732169540509	-2085.8659870808997	-200.8661824596094	-2085.8659870808997	45.457028455219664	3.730150638111579E-4	1.0	14.582405231405929	-198.1863667787741
940000	-2303.7928672417625	-2085.366750492689	-218.42611674907377	-2085.366750492689	50.43096244637358	3.2539631104964734E-4	1.0	20.54120621341433	-215.4036838212044
950000	-2294.64005804165	-2080.8489809177413	-213.7910771239084	-2080.8489809177413	57.95333774250715	2.8111345578445937E-4	1.0	23.134241843586423	-210.6497632730574
960000	-2291.3082033662895	-2076.5064296445626	-214.80177372172705	-2076.5064296445626	51.17689010641681	3.406262575664086E-4	1.0	18.253028501338985	-211.89744271018708
970000	-2289.4709455211096	-2084.1338072911044	-205.3371382300053	-2084.1338072911044	50.51125845789118	3.1749004206410873E-4	1.0	14.726004263359249	-202.64752330154644
980000	-2267.339460745549	-2086.43879854523	-180.90066220031906	-2086.43879854523	43.538497127136736	4.579432789944188E-4	1.0	11.641358542752686	-178.44609805153132
990000	-2278.157914419697	-2080.6760099621456	-197.48190445755148	-2080.6760099621456	41.1103715657324	3.133017640666377E-4	1.0	14.917089394901524	-194.77939696257727
1000000	-2284.6815864209407	-2077.743009877035	-206.9385765439057	-2077.743009877035	44.79287346941641	3.273256811600404E-4	1.0	19.412029201421884	-203.97268360806643
1010000	-2278.6795476817315	-2086.761051871534	-191.9184958101973	-2086.761051871534	42.46947655323119	4.8026349551717463E-4	1.0	13.665056610356817	-189.3036538480994
1020000	-2283.231397767213	-2086.8994950305187	-196.33190273669445	-2086.8994950305187	46.47687513648729	2.878581564375583E-4	1.0	15.10581223198734	-193.61682315090908
1030000	-2274.8889298150125	-2084.243916590052	-190.6450132249606	-2084.243916590052	49.07893757470163	3.385091550182763E-4	1.0	14.028033360132019	-188.00395551457513
1040000	-2284.5165601398794	-2076.406112953725	-208.11044718615452	-2076.406112953725	44.472433226104435	3.281424097268602E-4	1.0	21.79954750917904	-205.02855797303457
