#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:sav GI.2.tree" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:sav GI.2.tree" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:sav GI.2.tree" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:sav GI.2.tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:sav GI.2.tree">
#                    <trait id="dateTrait.t:sav GI.2.tree" spec="beast.evolution.tree.TraitSet" traitname="date" value="FJ844411.5_GI.2/Kecskemet/HUN3739_HUN_2008=2008,SaV/9-5/Taipei/07/TW_EU124657.1_GI.2_2007=2007,Potsdam/2000-AF294739._GI.2_2000=2000,Parkville_U73124.1_GI.2_1997=1997,Nobeoka-1-3-day6/2005_AB455800.1_GI.2_2005=2005,Nobeoka-1-3-day28/2005_AB455802_GI.2_2005=2005,Nobeoka-1-3-day14/2005_AB455801.1_GI.2_2005=2005,Nobeoka-1-2-day25/2005_AB455799_GI.2_2005=2005,Nobeoka-1-2-day15/2005__AB455798.1_GI.2_2005=2005,Nobeoka-1-1-day3/2005_AB455796.1_GI.2_2005=2005,Nobeoka-1-1-day11/2005_AB455797.1_GI.2_2005=2005,Miyagi/GeO38/2009_AB630340_GI.2_2009=2009,Houston/90_U95644.1_GI.2_1990=1990,AF294739_Potsdam_germany_GI.2_2000=2000,AB614356_BR_DF01_BRA_GI.2_2009=2009,Chiba/041413/2004_AB258427.1_GI.2_2004=2004,MK250983/BRA/2015/GI.2/TO-65_2015=2015,MK250985_BRA/TO-66_2015=2015,MK250987_Hu/BRA/GI.2/TO-89_2014=2014,MK250988_Hu/BRA/GI.2/TO-90_2015=2015,MK250986_Hu/BRA/GI.2/TO-07_2013=2013,MK250984_Hu/BRA/GI.2/TO-31_2014=2014,MG012442.1_SapovirusUS/Oakland3023_GI.2_2016=2016,Aichi/2010_AB607855.1_GI.2_2010=2010,MG012441.1_Sapovirus/Oakland6371_GI.2_2016=2016,MG012440.1_Sapovirus_Nashville9411_GI.2_2015=2015,KM092508.1_isolate_13-SaV-2-3_GI.2_2013=2013,KM092507.1_isolate_13-SaV-2-2_GI.2_2013=2013,KM092506.1_Sapovirus_isolate_13-SaV-1-2_GI.2_2013=2013,JX993277.1_Sapovirus_G1/BE-HPI01/DE_GI.2_2012=2012,LC081178.1_Sapovirus_OH13068_GI.2_2013=2013,LC081170.1_Sapovirus_OH13033_GI.2_2013=2013,LC081169.1_Sapovirus_OH13028_JPN_GI.2_2013=2013,LC081166.1_Sapovirus_OH13019_JPN_GI.2_2013=2013,LC081164.1_Sapovirus_OH13013_JPN_GI.2_2013=2013,LC081162.1_Sapovirus_OH12095_JPN_GI.2_2012=2012,LC081155.1_Sapovirus/OH12009_GI.2_2012=2012,MG132178.1/Shenzhen-23_CHN_GI.2_2016=2016,MG132174.1_/Shenzhen-4_CHN_GI.2_2016=2016,MG515479.1_Shenzhen-22_CHN_GI.2_2016=2016,MG515478.1_Shenzhen-10_CHN_GI.2_2016=2016,MG515477.1_Sapovirus_Shenzhen-5_CHN_GI.2_2016=2016,MG515476.1_Sapovirus/Shenzhen-2_CHN_GI.2_2016=2016,23_peru_SP265X_GI.2_2018=2018,18_peru_SP223X_GI.2_2018=2018,17_peru_SP223X_GI.2_2018=2018,16_peru_SP223X_GI.2_2018=2018,15_peru_SP223X_GI.2_2018=2018,14_peru_SP223X_GI.2_2018=2018,s67_22_miyagi_outbr_GI.2_2013k4_2013=2013,s66_21_miyagi_outbr_GI.2_2013k4_2013=2013,s70_25_miyagi_outbr_GI.2_2013k4_2013=2013,s69_24_miyagi_outbr_GI.2_2013k4_2013=2013,s68_23_miyagi_outbr_GI.2_2013k4_2013=2013,SN091X_TG22010_phil_batch7_2018=2018,SN091X_TG21997_phil_batch7_2018=2018,SN091X_TG21995_phil_batch7_2018=2018">
#                        <taxa id="TaxonSet.sav GI" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.sav GI"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:sav GI.2.tree" jeffreys="true" parameter="@bPopSizes.t:sav GI.2.tree" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:sav GI.2.clock" name="distribution">
#            <parameter id="clockRate.c:sav GI.2.clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@sav GI" id="treeLikelihood.sav GI" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sav GI.2.tree">
#            <siteModel id="SiteModel.s:sav GI.1.mod" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sav GI.1.mod" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sav GI.1.mod" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sav GI.1.mod" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:sav GI.1.mod" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:sav GI.2.clock" id="StrictClock.c:sav GI.2.clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
260000	-2799.276647040658	-2642.605541980089	-156.6711050605692	-2642.605541980089	33.318643546587666	0.001619941748321332	-144.8069086204493	1.975038888684094	3.9465080682026294	4.71750504087918	8.486638730601237	3.8011147845089956	6	4	6	26	14
270000	-2808.6922871790434	-2640.65994122733	-168.03234595171335	-2640.65994122733	33.024760795554606	0.0015162202078117632	-153.90127162360548	1.8372678506024225	5.848018644677284	9.23880822412597	8.81167384356497	9.096631680187379	6	10	32	2	6
280000	-2781.5600521334386	-2627.3807116019234	-154.17934053151535	-2627.3807116019234	31.152868781377403	0.0016277759892323156	-139.73219244157363	2.465313648810333	7.360514661381847	6.744224837505793	13.487243858845149	3.1590781689382736	8	7	6	21	14
290000	-2792.747502853759	-2637.8166376259205	-154.93086522783864	-2637.8166376259205	32.880368299705545	0.0018611775726624503	-140.7083234993774	2.591615986821811	5.698773553030552	18.589517263958864	2.4448592143125203	2.8572497391197675	7	28	4	16	1
300000	-2802.554380871518	-2634.8801435671876	-167.67423730433018	-2634.8801435671876	35.18141222623862	0.0016390919591818085	-155.31908670521756	1.70023591531347	5.6901620827879125	3.0675020088086407	6.851166977718965	2.6743465728903724	9	14	4	24	5
310000	-2798.3810205797263	-2637.123404206628	-161.2576163730983	-2637.123404206628	34.531969835825244	0.0015552474367143028	-147.99847904935191	5.985077444473939	7.883443703053656	11.320727587869817	1.8793292492729814	3.0803702627895584	10	31	1	7	7
320000	-2795.616635709434	-2641.076593483285	-154.5400422261493	-2641.076593483285	34.206859856459985	0.0015731389197811575	-140.96712116761853	2.068295974959384	7.867795766714341	7.266511671870623	5.183618204872442	5.1161307446585615	14	11	18	9	4
330000	-2797.594974257942	-2632.7337526919378	-164.86122156600402	-2632.7337526919378	31.44285227511488	0.0016816616392807562	-151.73070301970722	3.138869865487694	1.9259043848006552	6.109869248661113	8.88261008421556	8.470005775530776	10	4	8	20	14
340000	-2805.907841849534	-2643.5525528207468	-162.35528902878727	-2643.5525528207468	35.411938479372466	0.0016498286615149217	-151.62651419822305	2.4673999955294463	1.8211707433201465	5.630383846411043	2.2105251827496817	3.4909261998458	11	1	34	3	7
350000	-2797.1078081596843	-2639.8239605878252	-157.28384757185881	-2639.8239605878252	30.13058140637872	0.0018445388732907632	-143.62136376919335	4.843513599398299	7.653983285363606	13.027155142718685	3.6887531930778	3.8150165319775073	11	27	1	11	6
360000	-2803.053257150898	-2634.5704449690847	-168.48281218181327	-2634.5704449690847	35.498698909578685	0.0012326538800887365	-154.7794998235874	1.8468277382751774	7.241633944263866	7.280041079719822	5.926564205511911	5.875818050557549	9	7	23	1	16
370000	-2800.728598019811	-2640.369911123022	-160.3586868967893	-2640.369911123022	36.96896276698387	0.001459066553647338	-147.91158950995208	3.2915762939604303	6.487672163257425	6.010752038219991	3.250623360379537	5.798402237460639	6	18	20	6	6
380000	-2803.1848567125094	-2643.202377477911	-159.98247923459834	-2643.202377477911	36.8391549837064	0.001691336042515569	-147.1959849953926	1.356511448184561	3.8904766068297176	10.96195162336884	4.6126349098118125	3.636951741977707	6	13	6	29	2
390000	-2782.415057518638	-2635.46667233067	-146.94838518796826	-2635.46667233067	31.135813300221734	0.0018120295875035514	-136.4819399565328	2.2498139990674795	1.2170184130539494	3.9909201382268615	5.192944311666371	2.5737880178161987	4	2	11	29	10
400000	-2785.7604231318637	-2640.7567809702105	-145.00364216165318	-2640.7567809702105	28.855658536410974	0.0020119831658310275	-133.70800296725864	1.4837610569459494	4.55686682098185	5.580700254309246	5.044922970840118	2.281887703802159	7	4	15	20	10
410000	-2799.357870776254	-2655.5470308586805	-143.8108399175733	-2655.5470308586805	32.11601983756267	0.0026099508563611797	-132.20134143669983	4.710264808017131	5.401798735137289	2.9465336897293524	4.603902426070119	4.424242988968571	1	8	24	12	11
420000	-2792.4195906019563	-2645.1786775782352	-147.2409130237211	-2645.1786775782352	33.25540570184451	0.0019470759737169007	-133.16463586055846	30.36981407017987	3.236361853477748	4.232623221366266	4.003869431665531	3.541392105166978	1	7	6	7	35
430000	-2788.799580336541	-2633.182421640693	-155.61715869584816	-2633.182421640693	33.66177530195697	0.0016972707128603264	-144.1399602940439	2.0765124804224198	3.8160305700910593	6.184853093497561	2.7110187333447757	5.314630584216219	9	26	7	1	13
440000	-2774.924545771772	-2640.2982973809017	-134.62624839087044	-2640.2982973809017	28.81309588494823	0.001926881099087609	-122.54347702115604	1.7588877317628258	4.860462529341248	10.117768295955091	4.173614476004497	1.5512300091571327	12	23	7	13	1
450000	-2769.8620360869295	-2628.467476003554	-141.39456008337555	-2628.467476003554	31.225189196703642	0.001865809382704019	-131.40511256161713	3.86481533629132	1.3440264253878165	3.661224710289848	3.836783363051846	0.8737715394778839	22	7	11	8	8
460000	-2796.4601165328545	-2637.8819160784196	-158.57820045443466	-2637.8819160784196	31.027005061953467	0.0016320802465199884	-145.78159630120814	5.498904779296574	4.402106989801301	8.17037302963758	5.126170702156137	4.544776672438257	8	8	9	8	23
470000	-2779.6925551819522	-2637.27480982559	-142.41774535636227	-2637.27480982559	31.349646081609144	0.0015560173730749557	-130.572983513481	3.3758189728850505	8.669823674826286	6.323305897676197	3.249073507891626	1.3569441149635582	27	10	5	5	9
480000	-2807.2978772333736	-2651.730691653615	-155.56718557975879	-2651.730691653615	32.67866499238994	0.0015952884338242368	-143.82826631925838	1.7229251077333836	1.6103779026964482	4.414361369768392	8.573032026674177	7.9126395907050515	10	3	9	11	23
490000	-2788.846770194983	-2640.482017565876	-148.3647526291071	-2640.482017565876	38.08934846166408	0.001499464109498888	-135.75005939532667	1.7403513132056845	3.4872864650450373	10.079525580762043	4.690915942479129	4.886640408115284	13	22	7	11	3
500000	-2798.2435134977113	-2635.715647715202	-162.5278657825091	-2635.715647715202	32.82993911788558	0.0016180311556261583	-150.63244928350917	6.417643101710675	5.7520530136173775	6.0404688540649225	3.679320766160633	2.836783492159088	28	8	7	2	11
