#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:sav GI.2.tree" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:sav GI.2.tree" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:sav GI.2.tree" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:sav GI.2.tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:sav GI.2.tree">
#                    <trait id="dateTrait.t:sav GI.2.tree" spec="beast.evolution.tree.TraitSet" traitname="date" value="FJ844411.5_GI.2/Kecskemet/HUN3739_HUN_2008=2008,SaV/9-5/Taipei/07/TW_EU124657.1_GI.2_2007=2007,Potsdam/2000-AF294739._GI.2_2000=2000,Parkville_U73124.1_GI.2_1997=1997,Nobeoka-1-3-day6/2005_AB455800.1_GI.2_2005=2005,Nobeoka-1-3-day28/2005_AB455802_GI.2_2005=2005,Nobeoka-1-3-day14/2005_AB455801.1_GI.2_2005=2005,Nobeoka-1-2-day25/2005_AB455799_GI.2_2005=2005,Nobeoka-1-2-day15/2005__AB455798.1_GI.2_2005=2005,Nobeoka-1-1-day3/2005_AB455796.1_GI.2_2005=2005,Nobeoka-1-1-day11/2005_AB455797.1_GI.2_2005=2005,Miyagi/GeO38/2009_AB630340_GI.2_2009=2009,Houston/90_U95644.1_GI.2_1990=1990,AF294739_Potsdam_germany_GI.2_2000=2000,AB614356_BR_DF01_BRA_GI.2_2009=2009,Chiba/041413/2004_AB258427.1_GI.2_2004=2004,MK250983/BRA/2015/GI.2/TO-65_2015=2015,MK250985_BRA/TO-66_2015=2015,MK250987_Hu/BRA/GI.2/TO-89_2014=2014,MK250988_Hu/BRA/GI.2/TO-90_2015=2015,MK250986_Hu/BRA/GI.2/TO-07_2013=2013,MK250984_Hu/BRA/GI.2/TO-31_2014=2014,MG012442.1_SapovirusUS/Oakland3023_GI.2_2016=2016,Aichi/2010_AB607855.1_GI.2_2010=2010,MG012441.1_Sapovirus/Oakland6371_GI.2_2016=2016,MG012440.1_Sapovirus_Nashville9411_GI.2_2015=2015,KM092508.1_isolate_13-SaV-2-3_GI.2_2013=2013,KM092507.1_isolate_13-SaV-2-2_GI.2_2013=2013,KM092506.1_Sapovirus_isolate_13-SaV-1-2_GI.2_2013=2013,JX993277.1_Sapovirus_G1/BE-HPI01/DE_GI.2_2012=2012,LC081178.1_Sapovirus_OH13068_GI.2_2013=2013,LC081170.1_Sapovirus_OH13033_GI.2_2013=2013,LC081169.1_Sapovirus_OH13028_JPN_GI.2_2013=2013,LC081166.1_Sapovirus_OH13019_JPN_GI.2_2013=2013,LC081164.1_Sapovirus_OH13013_JPN_GI.2_2013=2013,LC081162.1_Sapovirus_OH12095_JPN_GI.2_2012=2012,LC081155.1_Sapovirus/OH12009_GI.2_2012=2012,MG132178.1/Shenzhen-23_CHN_GI.2_2016=2016,MG132174.1_/Shenzhen-4_CHN_GI.2_2016=2016,MG515479.1_Shenzhen-22_CHN_GI.2_2016=2016,MG515478.1_Shenzhen-10_CHN_GI.2_2016=2016,MG515477.1_Sapovirus_Shenzhen-5_CHN_GI.2_2016=2016,MG515476.1_Sapovirus/Shenzhen-2_CHN_GI.2_2016=2016,23_peru_SP265X_GI.2_2018=2018,18_peru_SP223X_GI.2_2018=2018,17_peru_SP223X_GI.2_2018=2018,16_peru_SP223X_GI.2_2018=2018,15_peru_SP223X_GI.2_2018=2018,14_peru_SP223X_GI.2_2018=2018,s67_22_miyagi_outbr_GI.2_2013k4_2013=2013,s66_21_miyagi_outbr_GI.2_2013k4_2013=2013,s70_25_miyagi_outbr_GI.2_2013k4_2013=2013,s69_24_miyagi_outbr_GI.2_2013k4_2013=2013,s68_23_miyagi_outbr_GI.2_2013k4_2013=2013,SN091X_TG22010_phil_batch7_2018=2018,SN091X_TG21997_phil_batch7_2018=2018,SN091X_TG21995_phil_batch7_2018=2018">
#                        <taxa id="TaxonSet.sav GI" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.sav GI"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:sav GI.2.tree" jeffreys="true" parameter="@bPopSizes.t:sav GI.2.tree" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="UCMeanRatePrior.c:sav GI.2.clock" name="distribution">
#            <parameter id="ucedMean.c:sav GI.2.clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.3" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@sav GI" id="treeLikelihood.sav GI" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:sav GI.2.tree">
#            <siteModel id="SiteModel.s:sav GI.1.mod" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:sav GI.1.mod" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:sav GI.1.mod" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:sav GI.1.mod" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:sav GI.1.mod" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@ucedMean.c:sav GI.2.clock" id="ExponentialRelaxedClock.c:sav GI.2.clock" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:sav GI.2.tree">
#                <Exponential id="Exponential.c:sav GI.2.clock" name="distr">
#                    <parameter id="UCExpLambda.c:sav GI.2.clock" name="mean">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="112" id="expRateCategories.c:sav GI.2.clock" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	ucedMean	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation
0	-24553.6646081205	-24187.154712520394	-366.5098956001073	-24187.154712520394	28.632443122484272	-332.8090393365052	380.0	380.0	380.0	380.0	380.0	12	11	11	11	11	1.0	0.8506022464272941	0.70789510631894	0.8487302192996788
10000	-3191.9298374328837	-3126.568035858355	-65.36180157452876	-3126.568035858355	28.361827223624665	-56.15562965462324	8.33081832259994	1.5236498981731101	1.101698457141703	2.4422966300130287	1.0563975236860026	1	3	21	2	29	0.015137905731886793	0.005998888104157461	1.3848417695875215E-4	0.9962482766846124
20000	-3139.58438814872	-3061.43292782899	-78.15146031972994	-3061.43292782899	30.07894872409346	-70.72808456991747	0.7073637311152476	1.5404626889784991	3.7712745400726586	1.49264748788453	1.3942212202418078	16	1	2	13	24	0.009910741103962775	0.004955154171890645	7.16316168442317E-5	1.126218587980814
30000	-3077.146003696995	-3008.711300194584	-68.43470350241107	-3008.711300194584	29.62671009921214	-61.837879742352094	0.672744937906935	1.022753460771277	1.0184224190498372	3.3590395528761774	1.084571939491511	22	1	2	7	24	0.010258701155918615	0.005539921717203538	1.2112099299237023E-4	1.161088898103989
40000	-2937.6633605080483	-2854.926594082397	-82.73676642565127	-2854.926594082397	32.52543223540818	-75.98299561155079	0.7453075194913957	1.246712372649584	1.6581867642503563	2.8932606812328947	2.3303426589024214	9	12	10	2	23	0.00563189941131636	0.003785132285826882	3.057549634792259E-5	1.095670483360632
50000	-2922.6352794604427	-2860.011159627178	-62.62411983326448	-2860.011159627178	28.190513763464356	-58.36181907962535	0.4074739696767569	1.4774131438651057	1.0951943754057099	0.7068749206721872	0.6439797963766326	7	22	20	5	2	0.0064471893511494505	0.0051442415991150205	4.998908187854032E-5	1.1398076530258678
60000	-2925.0183732423625	-2852.1875124390917	-72.83086080327087	-2852.1875124390917	29.182250747796544	-67.45063068139102	0.29589622716470076	0.41296161062120434	1.073023411750122	3.2540207758419393	1.3770657376297806	5	12	12	22	5	0.0050612414687819865	0.004312995851043193	2.9978454541739015E-5	1.090705266394233
70000	-2779.1560759079302	-2680.433501537449	-98.72257437048137	-2680.433501537449	28.028141334080793	-90.02083145011477	2.0690252568586187	1.2885319695167794	3.579883135097495	3.475759119497382	0.35101548820255124	4	9	11	26	6	0.003947166757633475	0.00346490532027471	1.3666980741466679E-5	0.9635006158744344
80000	-2763.4844855209494	-2677.389180730776	-86.09530479017347	-2677.389180730776	28.924163212699863	-77.68459035336912	1.0228584697332948	3.973738312826612	1.82408685782415	0.7037458794911075	1.4119154939676362	13	6	30	6	1	0.0041218351551331875	0.0033809728437047513	2.249032758383352E-5	1.1444737086204695
90000	-2785.9853680751257	-2683.7885675469925	-102.19680052813335	-2683.7885675469925	28.9073242468047	-92.36954287432665	1.7870437604093599	4.358912126495127	7.354870151448392	1.6214054179295958	0.5971761537395363	22	9	8	12	5	0.0036163038211337113	0.0028869374155112387	1.128143645622258E-5	1.0828648038481308
100000	-2778.084439596105	-2689.341035007524	-88.74340458858047	-2689.341035007524	28.733867605449806	-81.59594612376642	0.8273313397351982	1.8376556022110961	2.838372880181186	2.625539182439036	0.5744378631456216	14	3	9	18	12	0.004181112124670595	0.003228338538865852	1.9551932047526523E-5	1.1006142416465463
110000	-2772.928776949605	-2684.1616531572854	-88.76712379231941	-2684.1616531572854	28.412203313050234	-83.1115845379208	1.1207215798447299	1.3077710564472445	2.059133928765767	0.7327725169867854	1.2095155534296071	16	3	31	4	2	0.0031366083314973234	0.0030475282380044823	1.3069713196057882E-5	1.1042466717297348
120000	-2782.4867629746304	-2693.1243707437143	-89.3623922309162	-2693.1243707437143	28.025057015899684	-81.53193748803638	1.9229926502097063	3.5927501386192415	3.213061609526583	1.8511161813577297	0.22584753246004846	17	5	21	6	7	0.004601099249300151	0.004281899742665691	2.2344092309989085E-5	1.0412676909448775
130000	-2772.9351801220205	-2683.602821122979	-89.33235899904146	-2683.602821122979	28.04405566760775	-83.53895872373948	1.0884408078758083	1.469370220492534	3.1758114186768127	0.7801886472378404	0.448409792229988	3	13	33	3	4	0.0032926406085952912	0.0033221446073511815	1.2464153609162728E-5	1.0754032078422073
140000	-2768.4679613599974	-2651.257003902348	-117.2109574576493	-2651.257003902348	29.419678342267723	-107.4254994029462	3.0612779073340453	4.76820273286552	4.393084197195669	1.1011177189365255	1.8497715699731765	17	9	17	7	6	0.002296981700056551	0.002360898834167355	5.359184988426174E-6	0.905811509948979
150000	-2761.4981991289706	-2643.3276989303845	-118.17050019858613	-2643.3276989303845	28.017767193325586	-109.01288710271969	0.5871482771018458	0.6708707963308924	3.1099353367944893	5.251289363318193	1.90022145461074	4	3	7	33	9	0.003265777993117356	0.003095654685704246	1.1746823566944119E-5	1.1250412399223073
160000	-2768.3063433052675	-2645.362975634677	-122.94336767059099	-2645.362975634677	28.807055086088464	-112.76255792657892	1.1082987424230621	2.606909487271458	5.846178169966204	1.1545065356579431	2.6730377827975165	4	3	37	9	3	0.0026175354110630398	0.0025074469137946623	1.01657283597345E-5	1.1189569445034055
170000	-2768.651393236101	-2638.6219863226124	-130.0294069134884	-2638.6219863226124	29.897503774620983	-119.9025268999355	2.8181493534085846	4.304537508548904	3.288974621821046	4.468375783138932	1.1499392896399436	12	23	3	8	10	0.0023562550434206297	0.002492942672909237	7.647139472747247E-6	1.1312400497167854
180000	-2773.8181000579875	-2646.0409307668797	-127.777169291108	-2646.0409307668797	30.589778487310653	-120.49141480610211	1.198222268556157	0.29211714769927993	1.1612321675046304	1.4965248326015796	3.1341585442959348	1	3	2	1	49	0.0021023269182440176	0.0018817890745870473	4.768375027166354E-6	1.0646795553305421
190000	-2772.1736633190367	-2643.9470045731355	-128.226658745901	-2643.9470045731355	29.209099762542454	-118.51315143454188	2.0481481155486443	2.9695006031096423	4.3148429001698725	3.52760859907334	2.639033374826474	13	7	13	5	18	0.0027079039059666114	0.00213211099313623	4.806810658430568E-6	0.897891456445694
200000	-2745.1836470914286	-2636.4033589309925	-108.7802881604362	-2636.4033589309925	28.394495567926704	-99.63575091906608	1.7315014003754794	3.0148656377675165	1.6006017776408716	3.9699165545960122	1.3558276282675652	7	20	6	18	5	0.0031413305883426206	0.002631645543397454	9.293029088461116E-6	1.1270345238708686
210000	-2751.0518462586815	-2648.7445178446096	-102.30732841407195	-2648.7445178446096	31.11941023357008	-94.01506008704304	1.2287307500567588	0.8382254206130294	2.3973671419049922	4.149499702361873	2.0179786254544223	5	8	19	11	13	0.003641421489384335	0.002540966878328249	1.617434114940873E-5	1.0335994497615941
