#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:GI.1_poly_n23_tree" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:GI.1_poly_n23_tree" lower="0.0" name="popSizes" upper="380000.0">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:GI.1_poly_n23_tree" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:GI.1_poly_n23_tree" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:GI.1_poly_n23_tree">
#                    <trait id="dateTrait.t:GI.1_poly_n23_tree" spec="beast.evolution.tree.TraitSet" traitname="date" value="Chanthaburi-74/Thailand_AY646854_2002=2002,G1/Zhejiang1/China_KT327081_2014=2014,GI.1/Lima1863_MG012439_2016=2016,GI.1/Nashville9432_MG012437_2014=2014,GI.1/Nashville9478_MG012438_2014=2014,GI.1/Nashville9491_2014=2014,GI.1/Nashville9691-1_MG012435_2013=2013,GI.1/Nashville9691-1_ORF1_MG012435_2013=2013,GI.1/Seoul/ROK62_KP298674_2013=2013,GI/Hunan/China_KX980412.1_2016=2016,GI/Sapporo/MT-2010_HM002617_1982=1982,Hu/PE/2014/GI.1/Lima1845_MG012398_2014=2014,Hu/PE/2016/GI.1/Lima1870_2016=2016,Hu/US/2014/GI.1/Nashville9427_MG012497_2014=2014,Hu/US/2014/GI.1/Portland3639_MG012399_2014=2014,MG012399_Hu/US/2014/GI.1/Portland3639_2014=2014,MK111628_Hu/Guangzhou/GZ2013-L013/CHN_2013=2013,MK111629__Hu/Guangzhou/GZ2013-L030/CHN_2013=2013,MK111630_Hu/Guangzhou/GZ2014-L078/CHN_2014=2014,Sapovirus_Hu/Dresden/pJG-Sap01_KP298674_2013=2013,Sapovirus_Mc114_AY237422_2001=2001,Sapovirus_N21_AY237423_2002=2002,Sapovirus_NongKhai-50/Thailand_AY646853_2002=2002">
#                        <taxa id="TaxonSet.GI1_aa_n23" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.GI1_aa_n23"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:GI.1_poly_n23_tree" jeffreys="true" parameter="@bPopSizes.t:GI.1_poly_n23_tree" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:GI.1_poly_n23.clock" name="distribution">
#            <parameter id="clockRate.c:GI.1_poly_n23.clock" name="x">1.0</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:GI.1_poly_n23.model" name="distribution">
#            <parameter id="gammaShape.s:GI.1_poly_n23.model" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@GI1_aa_n23" id="treeLikelihood.GI1_aa_n23" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:GI.1_poly_n23_tree">
#            <siteModel gammaCategoryCount="5" id="SiteModel.s:GI.1_poly_n23.model" shape="@gammaShape.s:GI.1_poly_n23.model" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GI.1_poly_n23.model" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GI.1_poly_n23.model" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:GI.1_poly_n23.model" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GI.1_poly_n23.clock" id="StrictClock.c:GI.1_poly_n23.clock" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	mutationRate	gammaShape	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
170000	-2166.1004939619747	-2057.487930582607	-108.61256337936749	-2057.487930582607	39.09830359078207	2.7855299179021164E-4	1.0	0.3092354263229443	-89.38763458299805	47.542113167617	10.117472694487985	19.430554628267753	11.24224762183898	8.766484023758844	7	9	1	2	3
180000	-2173.075215622491	-2051.7954662258717	-121.27974939661965	-2051.7954662258717	49.05140998345792	2.050733190711559E-4	1.0	0.14486614796251643	-101.36137152228008	52.83912023503809	75.63635763468717	4.20235705666197	8.269643711892652	4.217264847054838	13	2	1	5	1
190000	-2157.8426834710176	-2053.57724756405	-104.26543590696747	-2053.57724756405	34.66144076380757	4.347436003259625E-4	1.0	0.06870722073053939	-85.10222229406703	39.67230895147653	23.708977875840954	34.125448185071335	7.002000713339039	5.944382646363687	5	2	11	1	3
200000	-2161.3303924603156	-2051.2641367245783	-110.0662557357371	-2051.2641367245783	35.88370717411099	3.138018562865586E-4	1.0	0.09580548429376226	-85.70291707659345	10.93420336898525	25.279397441036416	63.970790213002914	143.24292205601992	7.030967198201017	3	11	2	1	5
210000	-2164.2941286529067	-2057.264675165563	-107.02945348734357	-2057.264675165563	41.478291699158014	3.340841957124696E-4	1.0	0.024390161552119823	-87.03868410577739	17.065086999831617	28.689571654999952	31.65597828031065	31.704119008006764	7.555088446622019	3	5	6	2	6
220000	-2162.634822352072	-2048.594077605208	-114.04074474686409	-2048.594077605208	40.27972659743723	2.7653470890798775E-4	1.0	0.1412217959625733	-90.80436928634032	30.859199714150257	81.35037102269914	25.03466496242828	44.8925111686665	3.405290933204925	6	2	1	9	4
230000	-2148.002006149959	-2053.721926232418	-94.28007991754124	-2053.721926232418	34.61042316131352	4.927108891015353E-4	1.0	0.19539843690686784	-78.51341223130778	16.418237798509914	14.131374639524653	11.285676313648056	8.770935113541327	2.5838897360725843	5	7	7	1	2
240000	-2157.5863347827203	-2051.9779268143566	-105.60840796836379	-2051.9779268143566	34.16822484643695	3.1366146001087083E-4	1.0	0.19539843690686784	-89.40498190289962	38.2665228841982	14.618134813313793	14.545543746898165	3.9016560362899595	1.3759123462604395	8	9	1	1	3
250000	-2146.2207720307474	-2048.6286516697455	-97.59212036100183	-2048.6286516697455	38.64935064477919	4.4904211054953814E-4	1.0	0.10653111435629499	-80.369087950244	15.120946737505157	15.076331036090522	21.732547141635187	10.053904348723936	6.869542027625416	11	5	1	4	1
260000	-2165.804402488204	-2055.767995561541	-110.03640692666272	-2055.767995561541	35.89333622111103	3.7498637023552703E-4	1.0	0.20024879065214787	-88.24592884365664	116.91053322537682	35.911651762239416	21.324126083865934	22.797778819856937	7.518111796481655	3	1	3	12	3
270000	-2161.5135496488933	-2050.1281728238528	-111.38537682504067	-2050.1281728238528	43.12285342219825	2.5587770379681526E-4	1.0	0.16538933762019964	-90.37290163456946	28.760561860733464	45.972062006662064	10.936938757447015	25.02815579196105	14.11947092588838	2	6	5	3	6
280000	-2187.292229174829	-2050.434936533307	-136.85729264152224	-2050.434936533307	75.43093006849504	1.6409072244067985E-4	1.0	0.2231532906549066	-112.87740208783872	45.72593318510707	31.73292628932583	41.232506196388414	85.03952849773219	37.07109678620969	1	2	6	9	4
290000	-2183.475093726409	-2053.0740751250055	-130.40101860140345	-2053.0740751250055	47.41910595264182	2.3634829348849845E-4	1.0	0.3933664115865169	-104.95055499571399	95.57176309070748	39.31006694326449	106.71001259843119	44.929908867967725	10.949843282035731	2	11	4	2	3
300000	-2158.7083771006255	-2050.8669746606724	-107.8414024399533	-2050.8669746606724	36.41592137326868	2.962975141719089E-4	1.0	0.24733067789014515	-88.2338619009306	5.674444304022529	17.690390986236704	18.15009232330461	37.412010738225774	10.841158510091809	1	5	7	5	4
310000	-2150.1233172659304	-2059.482041508387	-90.64127575754371	-2059.482041508387	35.87948689285317	5.878472178548005E-4	1.0	0.07508954088613433	-74.05308410899539	59.418260052767074	8.591935469850768	8.674333977801318	5.7398099586726445	2.69420221830717	4	11	4	1	2
320000	-2163.452755999953	-2049.093265930977	-114.35949006897597	-2049.093265930977	42.192061294835476	2.864157643998005E-4	1.0	0.2336379181940826	-92.57058972049079	15.473578152752037	28.95453500802166	42.4461750512604	54.089807242359356	19.520263697114398	4	1	1	11	5
330000	-2166.816799319267	-2051.257105209003	-115.55969411026389	-2051.257105209003	35.655211209552775	2.7400452143756007E-4	1.0	0.20620439050218412	-94.51236479056583	86.19308126294843	29.44809383152165	19.652833932991804	21.62868290889161	8.294854173677065	6	8	1	2	5
