# BEAST v1.8.4
# Generated Mon Sep 13 16:57:42 JST 2021 [seed=1631519848854]
# -window -working -options
state	posterior	prior	likelihood	treeModel.rootHeight	skyline.popSize1	skyline.popSize2	skyline.popSize3	skyline.popSize4	skyline.popSize5	skyline.popSize6	skyline.popSize7	skyline.popSize8	skyline.popSize9	skyline.popSize10	skyline.groupSize1	skyline.groupSize2	skyline.groupSize3	skyline.groupSize4	skyline.groupSize5	skyline.groupSize6	skyline.groupSize7	skyline.groupSize8	skyline.groupSize9	skyline.groupSize10	kappa1	kappa2	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	skyline
100000	-11364.964438485858	-2484.8105513981454	-8880.153887087712	104.4510710960241	5.541660072672722	10.703041641249945	23.604160546652757	62.913928995687854	103.0947636903194	102.98669760332935	68.09167726480736	207.9333616989042	52.61427730602072	36.23719975898195	4.0	1.0	2.0	1.0	2.0	11.0	1.0	1.0	4.0	1.0	16.48657988808552	34.79454755472464	0.2809032775490451	0.24612831896967366	0.25268685943066893	0.22028154405061232	0.174827012069105	0.0018290223586720105	0.0018290223586720103	-8880.153887087712	0.0	-125.63745779237107
110000	-11379.623852601333	-2492.828295361992	-8886.795557239342	118.18886330265079	17.503004409341607	19.784351629182275	10.634895611588606	29.801769643918703	76.88615623737017	163.17354954402592	103.12523984642316	69.20528486255454	125.5656687683542	114.35511358419447	1.0	2.0	3.0	1.0	3.0	1.0	1.0	10.0	2.0	4.0	14.623418302385472	28.400794138980523	0.28195906807777155	0.25694741465617427	0.24392377676098667	0.21716974050506746	0.17859308315877234	0.0016459689323393846	0.0016459689323393846	-8886.795557239342	0.0	-133.68623779445468
120000	-11369.512635903979	-2482.6381331405128	-8886.874502763467	110.3114151359426	7.852071015346966	17.630189954183184	33.73273137744153	56.123990109091075	53.457451526755584	65.99842306562152	78.27554758785523	124.9955256862727	16.65564402683541	14.323356102007603	5.0	1.0	7.0	1.0	1.0	1.0	5.0	2.0	3.0	2.0	12.34914105474616	26.932191876961653	0.29478538761336764	0.2480197202032419	0.24790339177338416	0.20929150041000621	0.17216065885140144	0.0016285114669560734	0.0016285114669560732	-8886.874502763467	0.0	-128.3408574168741
130000	-11366.158245362849	-2478.656716593176	-8887.501528769673	102.60439469177213	6.588789583566917	11.26778692093839	18.35124527362466	21.75741561594528	32.399382612111076	112.89081684286154	93.80897249899827	20.329770098804026	33.863799827326076	58.17273371203373	2.0	1.0	1.0	5.0	7.0	1.0	6.0	1.0	1.0	3.0	14.72189120354199	24.78446003384543	0.2724591129011065	0.24354416163958045	0.23480132758407218	0.24919539787524078	0.15296227211014	0.001832183169604584	0.0018321831696045834	-8887.501528769673	0.0	-125.22408211895598
140000	-11365.622385257524	-2490.133788229399	-8875.488597028125	117.19069507602036	2.6944148586487553	11.340228550308117	14.961968447285392	88.04243050367825	37.21178334132531	64.26025268374812	177.52477073158565	155.7220088002349	104.43848852711962	25.527852551613595	3.0	1.0	2.0	2.0	3.0	1.0	3.0	1.0	9.0	3.0	13.692386446066932	26.284059905894424	0.2757146186064313	0.261310282664855	0.24027653629374363	0.22269856243497005	0.1854899614839505	0.0016383978294448119	0.0016383978294448112	-8875.488597028125	0.0	-129.766507834304
150000	-11358.724184916422	-2479.1883496863884	-8879.535835230034	123.0132178120008	2.4494106223901992	6.699653847199451	12.549296125259929	27.26394387428951	51.12328755756833	53.19918597843564	57.45640777013527	73.64911291105317	45.35113093608232	90.21585813392599	1.0	2.0	3.0	1.0	5.0	4.0	3.0	2.0	6.0	1.0	15.346703212595182	28.783943623782726	0.28622694178552444	0.2527123023626021	0.23189415851268136	0.2291665973391921	0.17473735756506117	0.0017297355403174692	0.0017297355403174688	-8879.535835230034	0.0	-126.4161159763732
160000	-11363.382987764717	-2479.9203456169676	-8883.46264214775	120.25740305465038	13.533153535873986	8.558982777013915	10.995577515422218	11.965590602293503	51.8615405239495	37.300310994088434	74.11195259668428	44.22737087643368	16.866685772199105	33.29140161194426	3.0	1.0	1.0	2.0	5.0	3.0	5.0	6.0	1.0	1.0	14.797758709188622	23.674030117903563	0.284794758880093	0.2572312847110215	0.22723513975576193	0.23073881665312365	0.16517684339570202	0.001636711401567818	0.0016367114015678186	-8883.46264214775	0.0	-128.3346533754076
170000	-11369.287581990728	-2483.917064387775	-8885.370517602953	106.80642690431945	11.664344529530862	10.798931121065367	23.075705147218084	23.94253304280202	35.057699663478	26.774983113189535	114.05493252266427	176.36175090808848	69.68934738346614	42.26701520380193	1.0	2.0	1.0	6.0	1.0	3.0	1.0	1.0	9.0	3.0	15.769104816513716	26.048910275078647	0.2785466216413843	0.25454877432630385	0.2393115895292535	0.22759301450305844	0.2041894772845175	0.001713993290200944	0.0017139932902009438	-8885.370517602953	0.0	-127.82897249300372
180000	-11377.491374275893	-2492.342208632337	-8885.149165643556	111.65444040358243	9.086494242480459	20.19162839115311	60.249188389339174	78.15007818091127	263.462099013311	85.34994090488271	115.77194498480824	97.409895738446	78.4299801309286	56.70311439060235	2.0	4.0	3.0	2.0	1.0	4.0	2.0	1.0	3.0	6.0	17.63249763634209	26.386459818800827	0.28877365218818424	0.2571507071109519	0.22296236140295114	0.2311132792979128	0.1633197909995259	0.0017440054128320325	0.001744005412832032	-8885.149165643556	0.0	-130.26762841257775
190000	-11382.068818477916	-2489.7081387847397	-8892.360679693176	152.86449377646068	2.8275837803906247	14.577725839099186	38.002785739406804	39.057051562080424	61.491537965930995	27.813684376730222	56.73040919526608	97.70139480767202	11.941945401703215	21.723224564985365	2.0	2.0	2.0	2.0	5.0	3.0	4.0	3.0	1.0	4.0	16.208343533909133	39.47344818448161	0.28018632894649076	0.2560224765595871	0.23339060307660303	0.23040059141731928	0.17873925309757044	0.0014769589683836194	0.0014769589683836196	-8892.360679693176	0.0	-133.24293639185535
